player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,zr
8,2021,11,100,1,0,9,14,0,14,0,60,7,7,0,0,0,0,0,0,2,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419
8,2021,16,101,6,0,9,60,1,59,0,215,24,24,0,0,0,0,0,0,2,57,59,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0232
8,2022,11,100,1,0,9,164,9,154,0,891,100,100,1,1,0,0,0,0,1,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4085
8,2023,11,100,1,0,9,213,6,202,0,872,100,100,5,1,0,0,0,0,1,192,175,1,170,140,44,31,17,11,26,12,29,8,63,0,-0.9904
8,2024,11,100,1,0,9,225,12,210,0,875,100,100,3,1,0,0,0,0,1,200,193,3,194,165,52,31,17,5,13,4,26,5,54,0,-9.9530
8,2025,11,100,1,0,9,260,15,242,0,878,100,100,3,2,0,0,0,0,0,231,221,0,199,181,58,40,18,8,20,8,29,5,73,0,1.0003
8,2026,11,100,1,0,9,268,11,255,0,887,100,100,2,4,0,0,0,0,0,241,221,2,198,177,51,39,21,11,35,16,29,12,59,0,4.9506
8,2027,11,100,1,0,9,195,3,188,0,893,100,100,4,0,0,0,0,0,1,177,166,1,154,135,36,23,19,13,32,13,25,4,55,0,2.0728
8,2028,11,100,1,0,8,21,0,21,0,64,7,7,0,0,0,0,0,0,0,21,21,0,17,16,5,4,2,0,1,1,2,0,8,0,-0.3506
9,2021,3,100,1,0,9,3,0,3,0,12,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0097
9,2023,16,101,6,0,7,149,0,145,0,576,64,64,4,0,0,0,0,0,0,137,138,2,122,104,30,21,10,5,20,9,19,6,22,0,0.0433
9,2024,16,101,6,0,5,2,2,0,0,5,1,0,0,0,0,0,0,0,0,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0.1228
10,2021,1,100,1,0,1,16,8,7,0,82,48,0,1,1,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3224
