team_id,player_id,list_id
1,18,1
1,363,2
1,363,1
1,18,2
1,81,1
1,146,2
1,146,1
1,549,2
1,364,1
1,311,2
1,311,1
1,423,2
1,549,1
1,81,2
1,29,1
1,364,2
1,423,1
1,508,2
1,122,1
1,17,2
1,208,1
1,421,2
1,508,1
1,525,2
1,421,1
1,122,2
1,525,1
1,208,2
1,541,1
1,541,2
1,324,1
1,324,2
1,566,1
1,29,2
1,566,2
1,147,1
1,147,2
1,17,1
2,206,1
2,564,2
2,564,1
2,27,2
2,336,1
2,92,2
2,56,1
2,273,2
2,92,1
2,28,2
2,273,1
2,336,2
2,28,1
2,537,2
2,537,1
2,56,2
2,27,1
2,561,2
2,20,1
2,561,1
2,206,2
2,453,2
2,442,1
2,442,2
2,453,1
2,502,1
2,337,1
2,20,2
2,159,2
2,137,1
2,502,2
2,159,1
2,337,2
2,653,1
2,426,2
2,426,1
2,57,2
2,57,1
2,137,2
3,409,1
3,478,2
3,204,1
3,409,2
3,492,1
3,492,2
3,478,1
3,34,2
3,435,1
3,533,2
3,328,1
3,275,2
3,457,1
3,503,2
3,533,1
3,457,2
3,346,2
3,275,1
3,512,2
3,410,2
3,503,1
3,523,2
3,512,1
3,402,2
3,34,1
3,465,2
3,456,1
3,456,2
3,418,1
3,548,1
3,548,2
3,418,2
3,465,1
3,346,1
3,410,1
3,523,1
3,454,1
3,417,2
3,417,1
3,394,2
3,394,1
3,402,1
9,331,1
9,223,2
9,315,1
9,331,2
9,16,1
9,315,2
9,574,1
9,574,2
9,258,1
9,377,2
9,398,1
9,326,2
9,576,1
9,16,2
9,377,1
9,398,2
9,246,1
9,576,2
9,223,1
9,365,2
9,475,1
9,246,2
9,365,1
9,237,2
9,145,1
9,258,2
9,121,2
9,475,2
9,361,1
9,326,1
9,111,2
9,145,2
9,237,1
9,559,1
9,361,2
9,559,2
9,121,1
9,111,1
10,526,1
10,526,2
10,48,1
10,455,2
10,455,1
10,48,2
10,405,1
10,405,2
10,504,1
10,12,2
10,185,1
10,504,2
10,15,1
10,368,2
10,371,1
10,371,2
10,368,1
10,12,1
10,185,2
10,458,2
10,458,1
10,349,2
10,577,1
10,310,2
10,310,1
10,577,2
10,534,1
10,534,2
10,158,1
10,119,2
10,247,1
10,158,2
10,15,2
10,247,2
10,119,1
10,349,1
11,467,1
11,467,2
11,65,2
11,375,1
11,401,2
11,375,2
11,76,1
11,76,2
11,524,1
11,446,2
11,401,1
11,65,1
11,8,2
11,524,2
11,446,1
11,407,2
11,407,1
11,437,2
11,437,1
11,516,2
11,516,1
11,505,2
11,575,1
11,552,2
11,8,1
11,505,1
11,575,2
11,552,1
11,553,2
11,553,1
11,540,2
11,540,1
11,545,2
11,545,1
11,396,2
11,396,1
11,400,2
11,400,1
11,404,2
11,404,1
16,557,1
16,395,2
16,412,1
16,579,2
16,395,1
16,579,1
16,558,2
16,558,1
16,510,2
16,586,1
16,483,2
16,452,1
16,624,2
16,592,1
16,586,2
16,510,1
16,483,1
16,641,2
16,624,1
16,633,2
16,641,1
16,614,2
16,633,1
16,605,2
16,614,1
16,462,2
16,605,1
16,613,2
16,462,1
16,615,2
16,613,1
16,498,2
16,615,1
16,589,2
16,498,1
16,594,2
16,589,1
16,661,2
16,374,1
16,322,1
16,594,1
16,661,1
16,115,1
16,96,1
16,109,1
16,494,1
16,554,1
16,547,1
17,622,1
17,622,2
17,134,1
17,643,2
17,643,1
17,635,2
17,41,1
17,5,2
17,40,1
17,528,2
17,5,1
17,3,2
17,635,1
17,1,2
17,38,1
17,38,2
17,3,1
17,591,2
17,591,1
17,567,2
17,1,1
17,543,2
17,277,1
17,571,2
17,278,1
17,645,2
17,279,1
17,629,2
17,567,1
17,459,2
17,289,1
17,647,2
17,593,1
17,283,1
17,543,1
17,285,1
17,571,1
17,645,1
17,629,1
17,459,1
17,647,1
17,476,2
17,340,1
17,448,1
17,518,1
17,585,1
17,648,1
17,514,1
17,385,1
17,6,1
17,584,2
17,584,1
17,309,1
17,476,1
17,486,1
17,528,1
18,562,1
18,562,2
18,461,1
18,550,2
18,312,1
18,550,1
18,461,2
18,413,1
18,610,2
18,610,1
18,598,2
18,330,1
18,515,2
18,572,1
18,625,2
18,598,1
18,539,2
18,373,1
18,604,2
18,37,1
18,280,2
18,144,1
18,144,2
18,162,1
18,162,2
18,139,1
18,139,2
18,290,1
18,640,2
18,625,1
18,631,2
18,539,1
18,434,1
18,668,2
18,439,1
18,439,2
18,509,1
18,587,2
18,604,1
18,611,2
18,447,1
18,603,2
18,280,1
18,644,2
18,433,1
18,626,2
18,490,1
18,640,1
18,631,1
18,668,1
18,391,1
18,654,1
18,587,1
18,611,1
18,520,2
18,520,1
18,511,1
18,414,1
18,531,1
18,522,2
18,603,1
18,469,1
18,644,1
18,376,1
18,522,1
18,626,1
18,515,1
18,655,1
19,568,1
19,568,2
19,284,1
19,403,2
19,295,1
19,389,2
19,350,1
19,388,2
19,291,1
19,620,2
19,397,1
19,517,2
19,620,1
19,555,2
19,517,1
19,612,2
19,23,1
19,607,2
19,292,1
19,621,2
19,389,1
19,632,2
19,555,1
19,646,2
19,612,1
19,573,2
19,302,1
19,595,2
19,607,1
19,616,2
19,297,1
19,560,2
19,621,1
19,580,2
19,296,1
19,298,2
19,632,1
19,388,1
19,646,1
19,387,1
19,387,2
19,573,1
19,302,2
19,348,1
19,569,1
19,372,1
19,323,1
19,560,1
19,338,1
19,595,1
19,583,1
19,616,1
19,580,1
19,298,1
19,642,1
19,638,1
19,415,1
19,403,1
19,470,1
19,474,1
19,444,1
19,420,1
19,390,1
19,535,1
19,341,1
24,379,1
24,379,2
24,538,1
24,538,2
24,268,1
24,268,2
24,149,1
24,149,2
24,360,1
24,360,2
24,449,1
24,449,2
24,87,1
24,87,2
24,519,1
24,519,2
24,24,1
24,24,2
24,124,1
24,124,2
24,165,1
24,165,2
24,192,1
24,192,2
24,546,1
24,546,2
24,527,1
24,527,2
24,62,1
24,62,2
24,244,1
24,244,2
24,43,1
24,43,2
24,399,1
24,399,2
25,542,1
25,432,2
25,432,1
25,22,2
25,482,1
25,482,2
25,466,1
25,466,2
25,138,2
25,488,1
25,488,2
25,22,1
25,334,2
25,392,1
25,392,2
25,499,2
25,427,1
25,427,2
25,542,2
25,138,1
25,506,1
25,506,2
25,140,1
25,140,2
25,472,1
25,472,2
25,335,1
25,335,2
25,565,1
25,565,2
25,563,1
25,563,2
25,491,1
25,430,2
25,499,1
25,544,2
25,544,1
25,491,2
25,529,1
25,529,2
25,334,1
25,430,1
26,597,1
26,174,2
26,14,1
26,200,2
26,355,1
26,126,2
26,126,1
26,45,2
26,408,1
26,445,2
26,501,1
26,69,2
26,239,1
26,581,2
26,270,1
26,501,2
26,200,1
26,358,2
26,45,1
26,602,2
26,255,1
26,69,1
26,445,1
26,255,2
26,270,2
26,239,2
26,358,1
26,419,2
26,14,2
26,408,2
26,355,2
26,419,1
26,536,2
26,428,2
26,581,1
26,378,1
26,588,1
26,602,1
26,460,1
26,464,1
26,370,1
26,495,1
26,530,1
26,428,1
26,536,1
26,174,1
27,636,1
27,481,2
27,481,1
27,327,2
27,344,1
27,329,2
27,316,1
27,127,2
27,70,1
27,70,2
27,366,1
27,479,2
27,650,1
27,333,2
27,353,1
27,500,2
27,422,1
27,90,2
27,90,1
27,329,1
27,321,1
27,316,2
27,479,1
27,344,2
27,436,2
27,127,1
27,366,2
27,327,1
27,353,2
27,333,1
27,424,2
27,521,2
27,596,2
27,422,2
27,332,1
27,321,2
27,136,1
27,354,2
27,599,2
27,485,1
27,354,1
27,650,2
27,128,1
27,636,2
27,599,1
27,596,1
27,128,2
27,521,1
27,500,1
27,436,1
27,424,1
28,669,1
28,600,2
28,601,2
28,493,2
28,480,2
28,393,2
28,617,2
28,657,2
28,658,2
28,656,2
28,669,2
28,608,1
28,468,2
28,619,1
28,440,2
28,468,1
28,619,2
28,637,1
28,659,2
28,416,1
28,637,2
28,627,1
28,660,2
28,628,1
28,628,2
28,440,1
28,608,2
28,600,1
28,627,2
28,601,1
28,416,2
28,480,1
28,493,1
28,393,1
28,617,1
28,659,1
28,660,1
28,656,1
28,658,1
28,657,1
29,639,1
29,556,2
29,623,1
29,667,2
29,649,1
29,664,2
29,666,2
29,489,2
29,665,2
29,663,2
29,662,2
29,634,2
29,606,2
29,618,1
29,570,2
29,556,1
29,484,2
29,630,2
29,623,2
29,606,1
29,618,2
29,570,1
29,652,2
29,634,1
29,649,2
29,489,1
29,582,2
29,665,1
29,609,2
29,663,1
29,639,2
29,664,1
29,662,1
29,666,1
29,667,1
29,609,1
29,630,1
29,582,1
29,652,1
29,484,1
