league_id,sub_league_id,year,all_star_pos,all_star
100,0,2017,0,120
100,0,2017,1,165
100,0,2017,2,166
100,0,2017,3,167
100,0,2017,4,168
100,0,2017,5,169
100,0,2017,6,172
100,0,2017,7,174
100,0,2017,8,176
100,0,2017,9,177
100,0,2017,10,180
100,0,2017,11,181
100,0,2017,12,186
100,0,2017,13,190
100,0,2017,14,192
100,0,2017,15,194
100,0,2017,16,197
100,0,2017,17,198
100,0,2017,18,203
100,0,2017,19,204
100,0,2017,20,205
100,0,2017,21,211
100,0,2017,22,212
100,0,2017,23,213
100,0,2017,24,215
100,0,2017,25,219
100,0,2017,26,221
100,0,2017,27,223
100,0,2017,28,227
100,0,2017,29,228
100,0,2017,30,230
100,0,2017,31,233
100,0,2017,32,235
100,0,2017,33,236
100,0,2017,34,243
100,0,2017,35,244
100,0,2017,36,246
100,0,2017,37,252
100,0,2017,38,255
100,0,2017,39,260
100,0,2017,40,262
100,0,2017,41,264
100,0,2017,42,268
100,0,2017,43,269
100,0,2017,44,270
100,0,2017,45,271
100,0,2017,46,273
100,0,2017,47,274
100,0,2017,48,275
100,0,2017,49,276
100,0,2018,0,68
100,0,2018,1,77
100,0,2018,2,78
100,0,2018,3,80
100,0,2018,4,82
100,0,2018,5,100
100,0,2018,6,165
100,0,2018,7,168
100,0,2018,8,171
100,0,2018,9,172
100,0,2018,10,173
100,0,2018,11,174
100,0,2018,12,176
100,0,2018,13,177
100,0,2018,14,178
100,0,2018,15,180
100,0,2018,16,181
100,0,2018,17,182
100,0,2018,18,185
100,0,2018,19,191
100,0,2018,20,192
100,0,2018,21,195
100,0,2018,22,197
100,0,2018,23,200
100,0,2018,24,203
100,0,2018,25,204
100,0,2018,26,205
100,0,2018,27,208
100,0,2018,28,215
100,0,2018,29,219
100,0,2018,30,221
100,0,2018,31,223
100,0,2018,32,226
100,0,2018,33,227
100,0,2018,34,236
100,0,2018,35,237
100,0,2018,36,240
100,0,2018,37,244
100,0,2018,38,246
100,0,2018,39,254
100,0,2018,40,255
100,0,2018,41,258
100,0,2018,42,260
100,0,2018,43,264
100,0,2018,44,266
100,0,2018,45,270
100,0,2018,46,271
100,0,2018,47,273
100,0,2018,48,275
100,0,2018,49,276
100,0,2019,0,46
100,0,2019,1,57
100,0,2019,2,59
100,0,2019,3,60
100,0,2019,4,81
100,0,2019,5,85
100,0,2019,6,90
100,0,2019,7,103
100,0,2019,8,119
100,0,2019,9,120
100,0,2019,10,165
100,0,2019,11,171
100,0,2019,12,173
100,0,2019,13,174
100,0,2019,14,176
100,0,2019,15,177
100,0,2019,16,178
100,0,2019,17,180
100,0,2019,18,182
100,0,2019,19,185
100,0,2019,20,186
100,0,2019,21,187
100,0,2019,22,192
100,0,2019,23,195
100,0,2019,24,197
100,0,2019,25,200
100,0,2019,26,201
100,0,2019,27,203
100,0,2019,28,204
100,0,2019,29,206
100,0,2019,30,208
100,0,2019,31,210
100,0,2019,32,213
100,0,2019,33,218
100,0,2019,34,219
100,0,2019,35,223
100,0,2019,36,225
100,0,2019,37,227
100,0,2019,38,237
100,0,2019,39,244
100,0,2019,40,245
100,0,2019,41,246
100,0,2019,42,255
100,0,2019,43,258
100,0,2019,44,260
100,0,2019,45,266
100,0,2019,46,268
100,0,2019,47,270
100,0,2019,48,273
100,0,2019,49,275
100,0,2020,0,45
100,0,2020,1,48
100,0,2020,2,59
100,0,2020,3,60
100,0,2020,4,62
100,0,2020,5,76
100,0,2020,6,78
100,0,2020,7,81
100,0,2020,8,85
100,0,2020,9,87
100,0,2020,10,90
100,0,2020,11,94
100,0,2020,12,97
100,0,2020,13,111
100,0,2020,14,124
100,0,2020,15,159
100,0,2020,16,165
100,0,2020,17,171
100,0,2020,18,173
100,0,2020,19,174
100,0,2020,20,177
100,0,2020,21,180
100,0,2020,22,185
100,0,2020,23,187
100,0,2020,24,192
100,0,2020,25,195
100,0,2020,26,200
100,0,2020,27,201
100,0,2020,28,204
100,0,2020,29,205
100,0,2020,30,206
100,0,2020,31,207
100,0,2020,32,211
100,0,2020,33,213
100,0,2020,34,219
100,0,2020,35,223
100,0,2020,36,227
100,0,2020,37,228
100,0,2020,38,229
100,0,2020,39,237
100,0,2020,40,245
100,0,2020,41,246
100,0,2020,42,255
100,0,2020,43,260
100,0,2020,44,266
100,0,2020,45,268
100,0,2020,46,270
100,0,2020,47,271
100,0,2020,48,273
100,0,2020,49,275
100,0,2021,0,10
100,0,2021,1,14
100,0,2021,2,20
100,0,2021,3,24
100,0,2021,4,27
100,0,2021,5,29
100,0,2021,6,39
100,0,2021,7,42
100,0,2021,8,43
100,0,2021,9,48
100,0,2021,10,59
100,0,2021,11,60
100,0,2021,12,62
100,0,2021,13,66
100,0,2021,14,76
100,0,2021,15,77
100,0,2021,16,78
100,0,2021,17,80
100,0,2021,18,81
100,0,2021,19,94
100,0,2021,20,111
100,0,2021,21,121
100,0,2021,22,122
100,0,2021,23,147
100,0,2021,24,156
100,0,2021,25,159
100,0,2021,26,171
100,0,2021,27,173
100,0,2021,28,174
100,0,2021,29,175
100,0,2021,30,177
100,0,2021,31,178
100,0,2021,32,180
100,0,2021,33,182
100,0,2021,34,185
100,0,2021,35,187
100,0,2021,36,191
100,0,2021,37,192
100,0,2021,38,195
100,0,2021,39,197
100,0,2021,40,200
100,0,2021,41,201
100,0,2021,42,203
100,0,2021,43,204
100,0,2021,44,206
100,0,2021,45,211
100,0,2021,46,213
100,0,2021,47,215
100,0,2021,48,219
100,0,2021,49,223
100,0,2022,0,11
100,0,2022,1,15
100,0,2022,2,20
100,0,2022,3,22
100,0,2022,4,29
100,0,2022,5,42
100,0,2022,6,43
100,0,2022,7,48
100,0,2022,8,56
100,0,2022,9,60
100,0,2022,10,62
100,0,2022,11,76
100,0,2022,12,78
100,0,2022,13,87
100,0,2022,14,94
100,0,2022,15,124
100,0,2022,16,126
100,0,2022,17,147
100,0,2022,18,159
100,0,2022,19,165
100,0,2022,20,171
100,0,2022,21,173
100,0,2022,22,174
100,0,2022,23,177
100,0,2022,24,180
100,0,2022,25,185
100,0,2022,26,187
100,0,2022,27,191
100,0,2022,28,195
100,0,2022,29,198
100,0,2022,30,200
100,0,2022,31,203
100,0,2022,32,204
100,0,2022,33,206
100,0,2022,34,208
100,0,2022,35,211
100,0,2022,36,219
100,0,2022,37,227
100,0,2022,38,237
100,0,2022,39,239
100,0,2022,40,244
100,0,2022,41,246
100,0,2022,42,255
100,0,2022,43,258
100,0,2022,44,264
100,0,2022,45,266
100,0,2022,46,268
100,0,2022,47,270
100,0,2022,48,271
100,0,2022,49,275
100,0,2023,0,8
100,0,2023,1,10
100,0,2023,2,11
100,0,2023,3,12
100,0,2023,4,14
100,0,2023,5,15
100,0,2023,6,18
100,0,2023,7,20
100,0,2023,8,22
100,0,2023,9,24
100,0,2023,10,27
100,0,2023,11,42
100,0,2023,12,48
100,0,2023,13,56
100,0,2023,14,60
100,0,2023,15,62
100,0,2023,16,65
100,0,2023,17,76
100,0,2023,18,78
100,0,2023,19,81
100,0,2023,20,111
100,0,2023,21,121
100,0,2023,22,124
100,0,2023,23,145
100,0,2023,24,147
100,0,2023,25,151
100,0,2023,26,156
100,0,2023,27,159
100,0,2023,28,171
100,0,2023,29,173
100,0,2023,30,174
100,0,2023,31,177
100,0,2023,32,180
100,0,2023,33,185
100,0,2023,34,200
100,0,2023,35,204
100,0,2023,36,206
100,0,2023,37,211
100,0,2023,38,219
100,0,2023,39,223
100,0,2023,40,227
100,0,2023,41,237
100,0,2023,42,246
100,0,2023,43,255
100,0,2023,44,258
100,0,2023,45,264
100,0,2023,46,266
100,0,2023,47,268
100,0,2023,48,270
100,0,2023,49,273
100,0,2024,0,13
100,0,2024,1,15
100,0,2024,2,17
100,0,2024,3,20
100,0,2024,4,24
100,0,2024,5,27
100,0,2024,6,48
100,0,2024,7,56
