game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
53,100,24,25,0,"2028-6-1",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,100,3,11,0,"2028-6-2",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,100,3,1,0,"2028-6-4",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,24,2,0,"2028-6-4",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,100,9,11,0,"2028-6-4",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,100,25,10,0,"2028-6-4",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,100,3,1,0,"2028-6-5",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,100,24,2,0,"2028-6-5",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,100,9,11,0,"2028-6-5",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,100,25,10,0,"2028-6-5",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,100,3,1,0,"2028-6-6",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,100,24,2,0,"2028-6-6",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,100,9,11,0,"2028-6-6",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,100,25,10,0,"2028-6-6",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,100,9,11,0,"2028-6-7",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,100,25,1,0,"2028-6-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,100,10,2,0,"2028-6-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,100,11,24,0,"2028-6-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,100,3,9,0,"2028-6-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,100,25,1,0,"2028-6-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,100,10,2,0,"2028-6-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,100,11,24,0,"2028-6-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,100,3,9,0,"2028-6-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,100,1,25,0,"2028-6-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
