team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
2,2019,100,0,0,1,0,3537,900,3834,0,948,695,227,229,430,400,988,877,14163,0,100,100,36,64,20,705,147,0,23,21,75,6,0,16,35,45,96,105,52,26,5,144,4,6,5,1,12,12.2200,0.2680,0.3187,0.3851,0.7038,9.4800,6.9500,0.7500,2.2900,0.0400,3.4899,0.5200,0.3600,2.2700,0.8000,0.1923,0.6667,4.0000,141.6300,0.0000,1.3078,0.5298,3.0349,0.3129
2,2020,100,0,0,1,0,3527,887,3935,0,996,739,264,332,554,522,952,851,14845,2,100,100,31,69,16,626,204,11,27,24,142,2,0,13,48,38,98,67,33,20,4,165,2,3,21,10,14,13.8498,0.2824,0.3481,0.4746,0.8227,10.0984,7.4927,1.4397,3.3661,0.0200,0.0000,0.3300,0.3100,2.6400,0.8000,0.2000,0.5939,5.2925,146.9802,0.0000,1.4961,0.5280,2.2259,0.3195
2,2021,100,0,0,1,0,3593,903,4045,0,1008,679,232,392,553,516,1024,868,15204,1,100,100,32,68,11,671,201,2,26,25,111,0,1,15,39,31,96,96,42,22,11,162,4,4,68,22,5,14.2572,0.2805,0.3540,0.4431,0.7971,10.0428,6.7649,1.1059,3.9055,0.0400,4.8077,0.4200,0.3200,2.3200,0.5000,0.5000,0.5926,5.1410,152.0400,0.0000,1.5498,0.5412,1.7321,0.3171
2,2022,100,0,0,1,0,3497,884,3911,0,975,644,267,334,560,534,1036,849,14818,2,100,100,32,68,21,617,212,5,41,29,117,2,1,11,32,33,96,83,45,38,17,165,4,1,47,17,13,13.6526,0.2788,0.3437,0.4564,0.8001,9.9190,6.5516,1.1903,3.3979,0.0400,4.7814,0.4500,0.3200,2.6700,0.5526,0.4474,0.5818,5.4326,148.1800,0.0000,1.4797,0.5496,1.9281,0.3090
2,2023,100,0,0,1,1,3568,902,3934,1586,945,681,331,295,531,495,980,931,14854,1,100,100,41,59,18,579,216,3,26,25,125,1,2,17,38,40,92,66,50,30,12,228,8,3,38,25,23,12.7669,0.2649,0.3258,0.4445,0.7703,9.4256,6.7924,1.2468,2.9424,0.0800,0.0000,0.5000,0.4100,3.3100,0.6000,0.4000,0.4035,4.9372,147.0693,0.0000,1.3742,0.5128,2.3085,0.2941
2,2024,100,0,0,1,1,3453,908,3852,1437,850,761,444,319,463,434,925,911,14480,1,100,100,57,43,25,523,188,16,23,18,121,3,0,9,43,41,83,95,51,37,12,196,17,4,57,13,17,11.9890,0.2462,0.3154,0.4162,0.7316,8.4220,7.5402,1.1989,3.1607,0.1700,4.6878,0.5100,0.5700,4.4400,0.6757,0.3243,0.4235,4.3002,144.8000,0.0000,1.2870,0.5038,2.3856,0.2810
2,2025,100,0,0,1,1,3409,896,3708,1374,807,835,406,235,405,389,843,916,13853,0,100,100,65,35,35,484,192,1,23,18,113,0,2,9,28,38,92,58,55,46,11,224,8,8,45,12,46,10.8482,0.2367,0.2915,0.4031,0.6945,8.1060,8.3873,1.1350,2.3605,0.0800,4.0596,0.5500,0.6500,4.0600,0.7609,0.2391,0.4107,3.9074,138.5300,0.0000,1.1629,0.4792,3.5532,0.2794
2,2026,100,0,0,1,1,3411,892,3768,1330,831,804,354,282,422,394,887,870,14221,0,100,100,52,48,27,540,178,4,26,18,95,3,1,17,35,44,90,79,64,40,13,217,10,7,38,15,29,11.6738,0.2436,0.3075,0.3899,0.6974,8.3845,8.1121,0.9585,2.8453,0.1000,3.9264,0.6400,0.5200,3.5400,0.6750,0.3250,0.4147,3.9753,142.2100,0.0000,1.2478,0.5048,2.8511,0.2900
2,2027,100,0,0,1,1,3472,893,3797,1424,888,808,444,265,432,400,851,904,14337,1,100,100,58,42,27,586,175,3,22,20,107,2,0,7,35,35,89,94,57,38,10,208,11,8,46,9,37,11.9687,0.2558,0.3131,0.4101,0.7233,8.9463,8.1403,1.0780,2.6698,0.1100,4.3249,0.5700,0.5800,4.4400,0.7297,0.2632,0.4279,4.0299,143.3700,0.0000,1.2907,0.4849,3.0491,0.3028
3,2017,100,0,0,1,0,3575,894,3960,0,1010,707,385,319,475,427,922,906,14778,1,100,100,47,53,23,763,159,0,26,14,74,8,1,9,29,39,86,117,55,35,11,136,14,7,11,10,7,13.7667,0.2825,0.3455,0.3969,0.7425,10.1640,7.1148,0.7447,3.2102,0.1400,4.2561,0.5500,0.4700,3.8500,0.6765,0.3143,0.6324,4.2971,147.7800,0.0000,1.4860,0.5044,2.2163,0.3319
3,2018,100,0,0,1,0,3564,909,3951,0,989,647,339,337,417,396,1024,888,14711,2,101,101,52,49,31,743,143,0,24,15,88,2,2,13,38,24,91,125,64,37,6,134,10,9,9,13,2,13.3565,0.2775,0.3419,0.4001,0.7420,9.7849,6.4012,0.8706,3.3342,0.0990,4.2587,0.6337,0.5149,3.3564,0.8378,0.1622,0.6791,3.9179,145.6535,0.0000,1.4577,0.5356,1.9199,0.3158
3,2019,100,0,0,1,0,3489,911,3802,0,859,792,247,258,333,308,962,843,13902,2,100,100,50,50,32,670,105,0,15,14,70,5,2,47,36,38,95,102,71,43,10,146,5,9,6,5,5,11.4022,0.2462,0.3039,0.3445,0.6485,8.4801,7.8186,0.6910,2.5470,0.0500,3.1711,0.7100,0.5000,2.4700,0.7619,0.2326,0.6507,3.0406,139.0200,0.0000,1.2252,0.5330,3.0698,0.2986
3,2020,100,0,0,1,0,3471,908,3858,0,841,925,333,306,419,402,986,714,14631,0,100,100,56,44,32,568,155,13,19,11,107,9,1,43,45,48,92,63,61,44,12,155,8,7,17,8,9,11.8447,0.2423,0.3109,0.3858,0.6966,8.3359,9.1685,1.0606,3.0330,0.0800,0.0000,0.6100,0.5600,3.3300,0.7273,0.2727,0.5935,3.9846,144.8614,0.0000,1.2632,0.5800,3.0229,0.2986
3,2021,100,0,0,1,0,3444,910,3803,0,780,844,377,308,413,371,947,846,14332,0,100,100,60,40,26,501,171,5,14,15,93,1,1,13,26,31,88,60,59,38,11,151,12,9,58,20,10,11.0670,0.2265,0.2947,0.3659,0.6606,7.7143,8.3473,0.9198,3.0462,0.1200,3.9070,0.5900,0.6000,3.7700,0.7027,0.2895,0.5828,3.6692,143.3200,0.0000,1.1956,0.5282,2.7403,0.2725
3,2022,100,0,0,1,0,3360,885,3665,0,812,810,324,250,398,360,986,727,14102,0,100,100,54,46,23,545,167,3,25,16,84,3,1,12,43,26,93,84,65,32,9,143,7,5,63,24,7,11.0644,0.2417,0.2972,0.3759,0.6731,8.2576,8.2373,0.8542,2.5424,0.0700,3.6091,0.6500,0.5400,3.2400,0.7188,0.2812,0.6503,3.6610,141.0200,0.0000,1.2000,0.5756,3.2400,0.2923
