player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,war
7,2021,16,0,101,6,2,0,10,1,2,10,0,6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0.0000,0,0.0000
7,2021,16,0,101,6,21,0,21,4,6,23,96,5,5,0,0,0,3,0,1,0,2,0,1,0,0,0,0,-0.3460,0,0.0000
7,2021,16,0,101,6,3,0,283,76,37,322,0,68,68,8,1,2,36,34,0,0,28,0,20,0,0,11,0,0.0000,0,0.0000
7,2021,16,0,101,6,1,0,293,77,39,332,1310,68,68,8,1,2,36,36,28,3,28,0,21,0,0,11,0,-0.7924,0,0.8921
7,2023,11,0,100,1,3,0,1,0,1,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0000,0,0.0000
7,2023,11,0,100,1,2,0,3,1,1,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0000,0,0.0000
7,2023,11,0,100,1,1,0,4,1,2,6,29,7,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.0001,0,0.0282
7,2024,11,0,100,1,1,0,7,3,0,8,31,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.0012,0,0.1136
7,2024,11,0,100,1,2,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
7,2024,11,0,100,1,3,0,5,2,0,6,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0000,0,0.0000
7,2025,11,0,100,1,1,0,12,4,2,13,47,13,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.0016,0,0.0831
7,2025,11,0,100,1,2,0,7,3,1,7,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
7,2025,11,0,100,1,3,0,5,1,1,6,0,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.0000,0,0.0000
8,2021,16,0,101,6,3,0,81,26,4,91,0,24,24,3,0,2,10,8,0,0,7,1,2,0,1,2,0,0.0000,0,0.0000
8,2021,16,0,101,6,2,0,5,1,3,7,0,6,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0.0000,0,0.0000
8,2021,16,0,101,6,1,0,86,27,7,98,369,24,24,3,1,2,11,9,2,2,9,1,2,0,1,2,0,-0.2957,0,0.7039
8,2021,11,0,100,1,3,0,12,5,1,15,0,5,3,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0.0000,0,0.0000
8,2021,11,0,100,1,1,0,25,9,5,28,99,8,7,1,0,0,4,1,0,0,3,0,0,0,0,0,0,0.0102,0,0.2002
8,2021,11,0,100,1,2,0,13,4,4,13,0,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
8,2022,11,0,100,1,21,0,35,10,6,46,177,12,12,2,0,0,3,2,0,0,11,0,0,0,0,0,0,0.0564,0,0.0000
8,2022,11,0,100,1,1,0,335,70,72,379,1410,100,100,14,1,3,32,31,4,2,37,0,12,0,4,3,0,-1.5983,0,-1.0250
8,2022,11,0,100,1,3,0,163,35,35,186,0,66,45,8,1,0,21,14,0,0,22,0,9,0,0,1,0,0.0000,0,0.0000
8,2022,11,0,100,1,2,0,172,35,37,193,0,67,55,6,0,3,11,17,0,0,15,0,3,0,4,2,0,0.0000,0,0.0000
8,2023,11,0,100,1,2,0,234,46,55,247,0,81,62,6,1,4,19,14,0,0,13,0,2,0,0,0,0,0.0000,0,0.0000
8,2023,11,0,100,1,3,0,155,52,15,173,0,64,38,7,2,5,25,27,0,0,16,1,6,0,0,2,0,0.0000,0,0.0000
8,2023,11,0,100,1,1,0,389,98,70,420,1539,100,100,13,3,9,44,41,2,0,29,1,8,0,0,2,0,-0.0740,0,0.2849
8,2024,11,0,100,1,1,0,417,104,111,449,1691,100,100,14,1,6,39,25,10,7,26,0,6,0,0,6,0,-1.5323,0,-1.4421
8,2024,11,0,100,1,2,0,246,58,63,266,0,77,65,4,1,5,26,13,0,0,16,0,4,0,0,4,0,0.0000,0,0.0000
8,2024,11,0,100,1,3,0,171,46,48,183,0,65,35,10,0,1,13,12,0,0,10,0,2,0,0,2,0,0.0000,0,0.0000
8,2025,11,0,100,1,2,0,203,55,51,220,0,63,52,15,0,2,31,15,0,0,15,0,4,0,0,2,0,0.0000,0,0.0000
8,2025,11,0,100,1,1,0,416,101,95,450,1650,100,100,21,0,7,48,38,10,3,31,0,6,0,0,3,0,0.0034,0,0.1022
8,2025,11,0,100,1,3,0,213,46,44,230,0,71,48,6,0,5,17,23,0,0,16,0,2,0,0,1,0,0.0000,0,0.0000
8,2026,11,0,100,1,1,0,420,130,83,457,1717,100,100,25,1,10,54,41,5,6,35,0,1,0,0,2,0,1.1421,0,2.6748
8,2026,11,0,100,1,2,0,231,67,48,245,0,78,55,14,0,6,28,18,0,0,13,0,0,0,0,1,0,0.0000,0,0.0000
8,2026,11,0,100,1,3,0,189,63,35,212,0,69,45,11,1,4,26,23,0,0,22,0,1,0,0,1,0,0.0000,0,0.0000
8,2027,11,0,100,1,2,0,218,63,41,243,0,72,56,15,1,3,35,28,0,0,19,0,3,0,1,5,0,0.0000,0,0.0000
8,2027,11,0,100,1,1,0,417,120,74,468,1773,100,100,26,2,8,66,41,1,0,43,0,7,0,1,7,0,1.5930,0,1.6649
