player_id,league_id,streak_id,value,has_ended,started,ended
19,101,1,5,1,"2023-5-19","2023-5-27"
19,101,3,4,1,"2024-5-17","2024-5-22"
20,100,2,3,1,"2022-8-2","2022-8-7"
20,100,0,13,1,"2025-5-26","2025-6-16"
20,100,3,6,1,"2028-10-23","2029-5-22"
20,100,1,10,1,"2029-6-12","2029-6-27"
20,100,0,4,0,"2029-10-15",NULL
20,100,1,1,0,"2029-10-18",NULL
21,100,3,3,1,"2021-8-23","2021-8-26"
21,100,0,5,1,"2025-8-11","2025-8-17"
21,100,1,4,1,"2025-10-7","2025-10-15"
21,100,2,1,1,"2025-10-12","2025-10-15"
22,100,7,12,1,"2021-8-11","2022-5-29"
22,100,5,8,1,"2021-8-16","2022-5-29"
22,100,6,10,1,"2027-10-21","2028-7-26"
22,100,6,1,0,"2029-10-18",NULL
23,100,0,3,1,"2021-6-26","2021-7-1"
23,100,1,3,1,"2021-7-28","2021-7-31"
23,100,2,1,1,"2021-7-29","2021-7-30"
23,100,3,1,1,"2021-7-29","2021-7-30"
23,101,3,4,1,"2023-8-3","2023-8-8"
23,101,2,2,1,"2025-5-22","2025-5-24"
23,101,0,9,1,"2025-8-25","2025-9-8"
23,101,1,6,1,"2025-8-30","2025-9-8"
23,101,0,3,0,"2026-5-16",NULL
23,101,1,2,0,"2026-5-17",NULL
23,101,2,1,0,"2026-5-18",NULL
23,101,3,1,0,"2026-5-18",NULL
24,100,0,12,1,"2026-7-4","2026-7-21"
24,100,3,6,1,"2026-7-4","2026-7-12"
24,100,1,9,1,"2026-7-5","2026-7-19"
24,100,2,3,1,"2028-10-7","2028-10-12"
24,100,0,2,0,"2029-10-17",NULL
25,100,3,3,1,"2020-9-11","2020-9-18"
25,100,1,5,1,"2020-9-28","2021-5-20"
25,100,2,2,1,"2020-10-3","2021-5-19"
25,100,0,5,1,"2022-5-23","2022-6-14"
26,100,5,3,1,"2021-8-20","2025-6-16"
26,101,4,11,1,"2024-5-27","2024-9-21"
26,101,5,2,1,"2024-6-16","2024-6-24"
26,101,6,3,1,"2024-8-22","2024-9-15"
26,101,5,2,0,"2024-9-15",NULL
26,100,6,3,1,"2025-6-16","2026-7-4"
26,100,4,1,1,"2025-9-26","2025-10-7"
26,100,4,7,0,"2025-10-18",NULL
26,100,6,1,0,"2027-10-11",NULL
27,100,6,10,1,"2020-10-1","2021-7-30"
27,100,5,13,1,"2029-5-21","2029-8-30"
27,100,7,15,1,"2029-5-21","2029-8-30"
27,100,5,1,0,"2029-10-10",NULL
27,100,7,2,0,"2029-10-10",NULL
28,100,1,5,1,"2021-8-10","2021-8-18"
28,100,0,11,1,"2022-6-24","2022-7-9"
28,100,3,5,1,"2025-9-22","2025-10-6"
28,100,2,2,1,"2029-9-28","2029-10-7"
29,100,3,6,1,"2025-6-2","2025-6-11"
29,100,1,7,1,"2027-5-16","2027-5-26"
29,100,2,4,1,"2027-6-1","2027-6-9"
29,100,0,29,1,"2027-6-26","2027-8-18"
29,100,1,3,0,"2029-10-16",NULL
30,100,2,1,1,"2024-6-14","2024-6-17"
30,100,1,3,1,"2024-6-14","2024-6-20"
30,100,3,3,1,"2025-6-27","2025-7-1"
30,100,0,5,1,"2025-7-26","2025-8-23"
31,100,3,5,1,"2020-6-10","2020-6-16"
31,100,2,2,1,"2020-6-13","2020-6-16"
31,100,1,4,1,"2020-7-8","2020-7-14"
31,100,0,8,1,"2020-9-20","2020-9-30"
32,101,6,3,1,"2021-5-18","2021-6-3"
32,101,5,7,1,"2021-6-3","2021-7-17"
32,101,7,8,1,"2021-6-3","2021-7-17"
32,101,5,4,0,"2021-9-6",NULL
32,101,7,6,0,"2021-9-6",NULL
33,100,7,3,1,"2020-7-19","2020-8-12"
33,100,6,3,1,"2020-8-28","2020-9-14"
33,100,5,3,1,"2020-9-25","2021-7-8"
33,100,7,2,0,"2020-9-25",NULL
33,100,6,1,0,"2021-7-8",NULL
33,100,4,3,0,"2021-7-30",NULL
34,100,7,6,1,"2021-7-5","2021-8-16"
34,101,4,4,1,"2022-5-28","2022-8-19"
34,101,4,1,0,"2022-9-27",NULL
34,101,5,3,1,"2023-9-9","2023-9-24"
34,101,6,6,1,"2024-6-2","2024-7-8"
34,101,7,3,1,"2024-8-1","2024-8-17"
34,101,6,1,0,"2024-9-28",NULL
34,100,5,3,1,"2026-8-11","2028-6-26"
34,100,4,1,1,"2027-10-16","2028-9-15"
34,100,4,2,0,"2028-10-15",NULL
34,100,6,2,1,"2029-9-8","2029-10-5"
34,100,5,1,0,"2029-10-5",NULL
35,100,6,1,1,"2020-6-21","2020-6-23"
35,100,5,1,0,"2020-6-23",NULL
35,100,4,1,0,"2020-7-7",NULL
35,101,5,8,1,"2021-8-18","2023-6-4"
35,101,7,12,1,"2021-8-18","2023-6-4"
35,101,6,4,1,"2023-9-3","2024-5-28"
35,101,6,1,0,"2024-9-24",NULL
36,100,6,5,1,"2020-6-12","2020-7-19"
36,100,5,2,1,"2020-7-19","2020-8-22"
36,100,7,6,1,"2020-9-14","2021-5-30"
36,100,6,10,0,"2021-5-30",NULL
36,101,5,2,0,"2023-5-16",NULL
37,101,1,4,1,"2023-8-8","2023-8-14"
37,101,3,3,1,"2023-8-13","2023-8-17"
37,101,0,6,1,"2023-8-22","2023-8-30"
37,101,2,1,1,"2023-9-20","2023-9-23"
38,101,5,3,1,"2024-8-31","2029-5-30"
38,101,6,6,1,"2029-5-30","2029-9-3"
38,101,4,4,1,"2029-6-11","2029-7-18"
38,101,6,1,0,"2029-10-5",NULL
39,100,0,11,1,"2021-6-12","2021-6-26"
39,100,3,5,1,"2021-7-12","2021-7-18"
39,100,1,4,1,"2022-6-14","2022-6-20"
39,100,2,1,1,"2022-8-10","2022-8-12"
39,100,0,2,0,"2022-9-30",NULL
39,100,1,1,0,"2022-10-1",NULL
39,101,3,5,1,"2023-6-27","2023-7-3"
39,101,2,3,1,"2023-8-31","2023-9-4"
39,101,0,13,1,"2024-8-24","2024-9-10"
39,101,1,6,1,"2024-8-28","2024-9-4"
39,101,0,1,0,"2024-10-1",NULL
39,101,2,1,0,"2024-10-1",NULL
39,101,3,1,0,"2024-10-1",NULL
39,101,1,1,0,"2024-10-1",NULL
40,101,6,13,1,"2021-6-3","2021-9-12"
40,101,7,3,1,"2022-6-2","2022-6-19"
40,101,5,2,1,"2022-7-5","2022-7-16"
40,101,6,8,0,"2022-8-24",NULL
41,101,6,5,1,"2021-7-15","2021-8-29"
41,101,7,5,1,"2022-5-31","2022-6-28"
41,101,5,3,1,"2022-6-5","2022-6-28"
41,101,6,5,0,"2022-9-3",NULL
42,100,5,10,1,"2021-7-10","2022-7-5"
42,100,7,9,1,"2022-5-18","2022-7-5"
42,100,6,2,1,"2023-8-5","2023-8-16"
42,100,7,3,0,"2023-8-16",NULL
42,100,4,5,1,"2023-10-1","2024-6-17"
42,100,5,7,0,"2024-7-1",NULL
43,100,7,6,1,"2021-6-15","2021-7-16"
43,100,4,12,1,"2024-6-20","2025-9-1"
43,100,5,6,1,"2025-9-5","2026-6-26"
43,100,6,3,1,"2027-6-11","2027-7-16"
43,100,6,1,0,"2029-10-10",NULL
44,100,0,4,1,"2020-6-12","2020-8-21"
44,100,2,1,1,"2020-6-18","2020-6-23"
44,100,1,2,1,"2020-6-18","2020-6-26"
44,100,3,1,1,"2020-9-11","2020-9-17"
44,100,0,1,0,"2020-9-17",NULL
44,101,0,13,1,"2021-8-2","2021-8-23"
44,101,3,6,1,"2024-5-27","2024-6-4"
44,101,1,6,1,"2024-5-27","2024-6-4"
44,101,2,1,1,"2024-9-23","2024-9-24"
44,101,0,1,0,"2027-9-8",NULL
44,101,3,1,0,"2027-9-8",NULL
