team_id,year,league_id,sub_league_id,division_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
10,2022,100,0,1,0,0,0,100,0,3858,1122,2678,58,96,0,13,62,16,0,8034,0,0.9850,4.2569,0.2581,0.0000
10,2023,100,0,1,1,0,0,100,1000,3723,1024,2644,55,98,0,5,47,15,0,7932,0,0.9852,4.1619,0.3191,0.0000
10,2024,100,0,1,1,0,0,100,1000,3622,870,2711,41,78,0,8,36,5,0,8133,0,0.9887,3.9627,0.1389,0.0000
10,2025,100,0,1,1,0,0,100,1000,3633,899,2690,44,80,0,3,43,13,0,8070,0,0.9879,4.0026,0.3023,0.0000
10,2026,100,0,1,1,0,0,100,1000,3585,861,2679,45,85,0,3,32,3,0,8037,0,0.9874,3.9642,0.0938,0.0000
11,2017,100,0,1,0,0,0,100,0,3815,1055,2704,56,127,1,6,30,17,0,8112,0,0.9853,4.1705,0.5667,0.0000
11,2018,100,0,1,0,0,0,100,0,3771,1001,2724,46,101,0,5,19,12,0,8172,0,0.9878,4.1024,0.6316,0.0000
11,2019,100,0,1,0,0,0,100,0,3723,948,2727,48,88,0,7,14,4,0,8181,0,0.9871,4.0429,0.2857,0.0000
11,2020,100,0,1,0,0,0,100,0,3761,950,2765,46,75,0,2,19,3,0,8295,0,0.9878,4.0307,0.1579,0.0000
11,2021,100,0,1,0,0,0,100,0,3786,1011,2719,56,80,0,3,56,21,0,8157,0,0.9852,4.1155,0.3750,0.0000
11,2022,100,0,1,0,0,0,100,0,3814,1045,2713,56,82,0,6,51,11,0,8142,0,0.9853,4.1540,0.2157,0.0000
11,2023,100,0,1,1,0,0,100,1000,3703,1025,2617,61,90,0,6,103,27,0,7851,0,0.9835,4.1750,0.2621,0.0000
11,2024,100,0,1,1,0,0,100,1000,3639,961,2628,50,101,0,9,90,12,0,7887,0,0.9863,4.0955,0.1333,0.0000
11,2025,100,0,1,1,0,0,100,1000,3663,969,2634,60,98,0,9,73,17,0,7902,0,0.9836,4.1036,0.2329,0.0000
11,2026,100,0,1,1,0,0,100,1000,3708,993,2661,54,91,0,7,71,16,0,7983,0,0.9854,4.1195,0.2254,0.0000
