player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint
14,2028,24,799,100,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113,0
14,2028,24,803,100,1,0,2,4,1,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0080,0
14,2028,24,808,100,1,0,2,4,2,1,6,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0.1659,0
14,2028,24,810,100,1,0,2,3,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0306,0
14,2028,24,813,100,1,0,2,3,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144,0
14,2028,24,823,100,1,0,2,4,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329,0
14,2028,24,1,100,1,0,2,3,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185,0
14,2028,24,5,100,1,0,2,3,0,1,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0799,0
14,2028,24,9,100,1,0,2,3,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0356,0
14,2028,24,17,100,1,0,2,3,0,0,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0818,0
14,2028,24,21,100,1,0,2,3,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322,0
14,2028,24,25,100,1,0,2,2,0,1,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.0011,0
14,2028,24,28,100,1,0,2,4,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0420,0
14,2028,24,29,100,1,0,2,2,0,0,3,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.0916,0
