league_id,team_id0,team_id1,winner,finished,best_of,played,round,result0,result1
100,2,11,0,0,5,0,0,0,0
100,0,10,10,1,5,0,0,0,3
100,26,1,0,0,5,0,0,0,0
100,0,24,24,1,5,0,0,0,3
