player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs
3,2028,17,313,101,6,1,2,6,0,0,3,6,0,0,0,0,1,2,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0003,0.4000,0,6
5,2028,17,305,101,6,1,1,7,0,3,2,8,0,0,0,0,1,1,31,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0664,16.7000,0,4
5,2028,17,309,101,6,1,0,1,0,0,0,1,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.0141,0.4000,0,2
5,2028,17,315,101,6,1,1,5,0,2,1,6,0,1,0,0,1,1,22,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,-0.0851,4.2000,0,4
12,2028,10,736,100,1,19,4,19,0,7,6,20,4,1,4,3,3,2,88,0,1,1,0,0,0,4,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2486,19.3000,0,12
12,2028,10,751,100,1,19,4,14,0,2,5,17,1,3,0,0,5,2,74,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2426,19.7000,0,12
12,2028,10,766,100,1,19,4,17,0,3,4,17,1,0,0,0,3,5,66,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2140,21.0000,0,12
12,2028,10,782,100,1,19,4,14,0,2,5,14,3,0,0,0,4,3,53,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2297,11.9000,0,12
12,2028,10,800,100,1,19,4,13,0,2,4,16,7,2,1,1,6,1,53,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0334,14.5000,0,12
12,2028,10,816,100,1,19,4,19,0,7,6,21,2,2,5,5,4,2,89,0,1,1,0,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.3448,22.4000,0,12
12,2028,10,7,100,1,1,6,26,0,8,4,27,2,1,5,3,8,4,90,0,1,1,0,0,0,6,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.2203,21.3000,0,18
12,2028,10,23,100,1,1,9,32,0,6,10,33,6,1,0,0,12,4,121,0,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.3078,29.7000,0,27
16,2028,9,740,100,1,19,4,17,0,6,3,18,3,1,2,2,5,3,69,0,1,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0153,15.8000,0,12
16,2028,9,753,100,1,19,4,11,0,0,2,13,1,2,0,0,3,6,39,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1773,11.1000,0,12
16,2028,9,771,100,1,19,9,34,0,6,7,39,5,4,3,2,10,10,149,0,1,1,1,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.2904,59.0000,0,27
16,2028,9,786,100,1,19,4,16,0,5,2,17,4,1,3,3,6,3,50,0,1,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1483,14.3000,0,12
16,2028,9,801,100,1,19,4,13,0,2,4,14,2,0,0,0,4,3,45,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2043,11.3000,0,12
16,2028,9,819,100,1,19,4,13,0,1,5,16,0,3,3,3,3,4,73,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.1853,9.9000,0,12
16,2028,9,12,100,1,1,6,21,0,3,5,22,4,1,1,1,7,6,88,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2050,23.5000,0,18
16,2028,9,26,100,1,1,6,22,0,4,7,22,2,0,0,0,6,5,93,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3719,23.0000,0,18
17,2028,1,731,100,1,19,4,16,0,6,2,16,2,0,1,1,3,5,52,0,1,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1286,20.0000,0,12
17,2028,1,750,100,1,19,4,13,0,0,3,16,3,2,0,0,5,4,48,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2188,18.0000,0,12
17,2028,1,769,100,1,19,4,14,0,4,5,18,0,3,3,3,1,5,82,0,1,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,-0.1702,13.3000,0,12
17,2028,1,789,100,1,19,4,17,0,6,4,17,4,0,2,2,2,5,62,0,1,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0525,15.7000,0,12
17,2028,1,812,100,1,19,4,15,0,3,7,15,0,0,1,1,1,4,53,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733,12.6000,0,12
17,2028,1,1,100,1,1,8,27,0,3,10,29,0,0,1,1,10,5,107,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2412,24.4000,0,24
17,2028,1,22,100,1,1,6,28,0,9,4,32,7,2,6,5,10,4,118,1,1,1,0,0,0,5,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2082,39.4000,0,19
18,2028,25,735,100,1,19,4,15,0,3,8,21,1,6,0,0,3,1,93,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.2426,31.7000,0,12
18,2028,25,756,100,1,19,4,16,0,5,5,17,0,1,2,2,3,3,69,0,1,1,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0797,14.4000,0,12
18,2028,25,774,100,1,19,4,15,0,3,3,16,0,1,1,1,6,3,51,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733,12.5000,0,12
18,2028,25,796,100,1,19,4,15,0,5,5,18,0,3,5,5,2,3,77,0,1,1,0,1,0,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.3595,13.3000,0,12
18,2028,25,816,100,1,19,4,16,0,3,1,18,5,1,2,0,3,8,61,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0356,17.9000,0,12
18,2028,25,8,100,1,1,4,20,0,8,7,22,0,2,6,6,1,4,90,1,1,1,0,1,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2831,12.2000,0,13
18,2028,25,20,100,1,1,6,23,0,7,6,27,1,3,5,5,4,7,98,0,1,1,0,1,0,2,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1997,15.8000,0,18
22,2028,25,735,100,1,19,1,8,0,2,0,9,0,1,0,0,3,2,33,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1832,27.6000,0,5
22,2028,25,749,100,1,19,1,4,0,0,0,4,0,0,0,0,3,1,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.0185,0.6000,0,5
22,2028,25,764,100,1,19,2,10,0,3,1,10,0,0,1,1,2,4,34,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1066,12.7000,0,7
22,2028,25,772,100,1,19,1,6,0,1,0,8,0,2,1,1,2,2,25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0122,1.7000,0,4
22,2028,25,788,100,1,19,0,4,0,2,0,5,0,1,2,2,1,1,18,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,-0.0086,0.4000,0,2
22,2028,25,804,100,1,19,3,11,0,1,4,12,0,1,0,0,3,3,44,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0704,6.1000,0,10
22,2028,25,820,100,1,19,2,11,0,3,4,11,0,0,2,2,3,1,36,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0214,9.7000,0,8
22,2028,25,14,100,1,1,5,24,0,9,2,25,1,1,7,5,6,6,93,0,1,1,0,1,0,5,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2965,18.3000,0,15
22,2028,25,31,100,1,1,5,18,0,5,4,22,1,3,3,3,7,3,101,0,1,1,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1317,15.9000,0,15
27,2028,2,734,100,1,19,4,12,0,0,4,13,0,1,0,0,6,2,52,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1671,9.3000,0,12
27,2028,2,755,100,1,19,4,17,0,4,2,20,1,2,5,0,7,3,61,0,1,1,0,1,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.2616,17.2000,0,12
27,2028,2,775,100,1,19,4,14,0,2,4,15,1,1,1,1,2,6,48,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1088,13.9000,0,12
27,2028,2,793,100,1,19,4,12,0,0,7,12,0,0,0,0,3,2,43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1671,8.5000,0,12
27,2028,2,814,100,1,19,4,15,0,3,1,16,3,1,2,2,8,3,62,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292,12.6000,0,12
27,2028,2,6,100,1,1,6,21,0,2,7,21,1,0,1,0,6,5,102,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.3501,24.3000,0,19
27,2028,2,19,100,1,1,6,22,0,7,7,23,3,1,1,1,4,4,103,0,1,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,0,0,0,0.2620,26.0000,0,18
34,2028,9,730,100,1,19,2,7,0,1,2,8,0,1,0,0,1,3,36,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0073,3.6000,0,6
34,2028,9,740,100,1,19,1,5,0,2,2,5,0,0,2,2,1,0,18,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-0.2498,5.2000,0,3
