player_id,league_id,sub_league_id,year,category,place,amount
8,100,0,2022,0,1,100.0000
8,100,0,2024,0,1,100.0000
8,100,0,2024,2,2,417.0000
8,100,0,2024,4,4,111.0000
8,100,0,2024,9,8,10.0000
8,100,0,2024,14,10,6.0000
8,100,0,2025,0,1,100.0000
8,100,0,2025,2,5,416.0000
8,100,0,2025,9,8,10.0000
8,100,0,2026,0,2,100.0000
8,100,0,2026,1,10,457.0000
8,100,0,2026,2,2,420.0000
8,100,0,2026,3,4,130.0000
8,100,0,2027,0,1,100.0000
8,100,0,2027,2,7,417.0000
8,100,0,2027,3,10,120.0000
8,100,0,2028,0,1,100.0000
8,100,0,2028,1,4,472.0000
8,100,0,2028,2,3,417.0000
10,100,0,2021,27,4,48.0000
10,100,0,2021,32,9,6.0000
10,100,0,2021,33,8,1.0000
10,100,0,2021,50,4,48.0000
10,100,0,2021,51,4,33.0000
10,100,0,2022,27,1,56.0000
10,100,0,2022,32,1,20.0000
10,100,0,2022,33,6,2.0000
10,100,0,2022,50,1,56.0000
10,100,0,2022,51,1,40.0000
10,100,0,2023,27,4,57.0000
10,100,0,2023,33,3,14.0000
10,100,0,2023,50,4,57.0000
10,100,0,2024,27,9,49.0000
10,100,0,2024,30,10,9.0000
10,100,0,2024,32,7,9.0000
10,100,0,2024,33,8,5.0000
10,100,0,2024,41,3,0.2441
10,100,0,2024,42,8,1.2478
10,100,0,2024,46,3,7.3274
10,100,0,2024,53,5,0.6000
10,100,0,2025,28,4,25.0000
10,100,0,2025,30,7,14.0000
10,100,0,2025,36,6,25.0000
10,100,0,2025,43,10,4.0000
10,100,0,2025,47,4,1.8075
10,100,0,2025,57,6,0.5262
10,100,0,2026,28,1,25.0000
10,100,0,2026,41,8,0.2729
10,100,0,2026,45,7,0.9464
10,100,0,2026,52,9,16.0000
10,100,0,2026,53,9,0.6400
10,100,0,2026,57,8,0.5305
11,100,0,2022,27,9,38.0000
11,100,0,2022,32,5,12.0000
11,100,0,2022,50,9,38.0000
11,100,0,2022,51,5,34.0000
11,100,0,2023,30,4,13.0000
11,100,0,2023,36,5,23.0000
11,100,0,2023,37,2,59.0000
11,100,0,2023,38,8,160.0000
11,100,0,2023,41,9,0.2808
11,100,0,2023,46,10,8.2786
11,100,0,2023,48,6,8.6573
11,100,0,2023,52,6,16.0000
11,100,0,2023,53,8,0.6400
11,100,0,2024,30,6,10.0000
11,100,0,2024,33,10,4.0000
11,100,0,2024,45,2,0.7845
11,100,0,2024,49,9,87.7454
11,100,0,2024,57,2,0.5576
11,100,0,2025,28,4,25.0000
11,100,0,2025,37,6,57.0000
11,100,0,2025,45,2,0.4843
11,100,0,2026,28,1,25.0000
11,100,0,2026,37,8,51.0000
11,100,0,2026,39,9,6.0000
11,100,0,2026,41,4,0.2662
12,100,0,2021,33,3,4.0000
12,100,0,2022,27,8,39.0000
12,100,0,2022,32,10,8.0000
12,100,0,2022,33,10,1.0000
12,100,0,2022,50,8,39.0000
12,100,0,2022,51,9,28.0000
12,100,0,2023,27,9,53.0000
12,100,0,2023,50,9,53.0000
12,100,0,2023,51,8,21.0000
12,100,0,2024,41,4,0.2680
12,100,0,2024,42,5,1.1812
12,100,0,2024,44,6,10.9933
12,100,0,2024,46,8,8.2148
12,100,0,2024,47,6,2.4161
12,100,0,2025,28,4,25.0000
12,100,0,2025,29,1,19.0000
12,100,0,2025,31,5,0.7917
12,100,0,2025,38,8,163.0000
12,100,0,2025,40,3,2.4596
12,100,0,2025,41,6,0.2637
12,100,0,2025,42,5,1.0124
12,100,0,2025,44,5,9.3354
12,100,0,2025,45,5,0.6149
12,100,0,2025,46,5,6.8199
12,100,0,2025,48,7,9.1118
12,100,0,2025,49,6,72.5722
12,100,0,2025,52,6,19.0000
12,100,0,2025,53,6,0.7600
12,100,0,2025,59,7,4.5949
12,100,0,2026,28,1,25.0000
12,100,0,2026,29,1,19.0000
12,100,0,2026,31,5,0.7917
12,100,0,2026,34,4,184.1000
12,100,0,2026,35,2,756.0000
12,100,0,2026,37,6,54.0000
12,100,0,2026,38,4,207.0000
12,100,0,2026,40,8,3.0759
12,100,0,2026,42,10,1.1230
12,100,0,2026,44,10,10.4485
12,100,0,2026,45,9,0.9765
12,100,0,2026,46,9,7.4702
12,100,0,2026,48,5,10.1067
12,100,0,2026,49,9,80.2379
12,100,0,2026,52,6,18.0000
12,100,0,2026,53,6,0.7200
12,100,0,2026,54,4,5.0000
12,100,0,2026,55,4,0.2000
12,100,0,2026,59,9,4.4613
12,100,0,2027,28,2,25.0000
12,100,0,2027,29,2,15.0000
12,100,0,2027,31,9,0.7143
12,100,0,2027,34,5,174.1000
12,100,0,2027,35,4,722.0000
12,100,0,2027,36,4,28.0000
12,100,0,2027,38,3,205.0000
12,100,0,2027,39,1,13.0000
12,100,0,2027,41,10,0.2913
12,100,0,2027,42,9,1.1759
12,100,0,2027,43,9,4.1000
12,100,0,2027,44,9,10.7380
12,100,0,2027,46,9,8.0019
12,100,0,2027,48,5,10.5832
12,100,0,2027,52,9,16.0000
12,100,0,2027,53,9,0.6400
12,100,0,2027,54,6,2.0000
12,100,0,2027,55,6,0.0800
12,100,0,2027,59,10,3.5130
12,100,0,2028,28,4,25.0000
12,100,0,2028,29,3,14.0000
12,100,0,2028,31,2,0.7778
12,100,0,2028,34,2,177.2000
12,100,0,2028,35,7,691.0000
12,100,0,2028,38,4,191.0000
12,100,0,2028,40,2,2.4822
12,100,0,2028,41,2,0.2500
12,100,0,2028,42,2,0.9231
12,100,0,2028,43,6,4.8974
