player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,war
335,2024,17,0,101,6,1,158,654,0,215,103,763,134,101,112,110,163,171,2918,2,32,32,8,12,0,173,22,2,1,4,16,0,0,0,3,5,0,21,8,0,0,0,0,0,7,9,0,0,0,-2.8127,816.0000,0,476,0.9621
335,2025,25,0,100,1,1,127,522,0,167,97,620,48,89,125,120,125,128,2319,0,25,25,2,17,0,101,30,1,4,2,34,1,0,0,9,4,0,17,2,0,0,0,0,0,11,7,0,0,0,-4.9282,560.8000,0,381,-2.4444
335,2025,25,0,100,1,3,85,340,0,105,61,399,23,55,76,73,84,87,0,0,25,25,0,0,0,66,20,1,2,1,18,0,0,0,4,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0.0000,354.8000,0,255,0.0000
335,2025,25,0,100,1,2,42,182,0,62,36,221,25,34,49,47,41,41,0,0,24,24,0,0,0,35,10,0,2,1,16,1,0,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0000,206.0000,0,126,0.0000
335,2026,25,0,100,1,1,128,534,0,169,116,618,32,73,119,112,123,123,2357,0,25,25,2,21,0,91,42,1,5,5,31,0,0,0,5,5,0,16,6,0,0,0,0,0,9,3,0,0,0,-4.5371,518.1000,0,384,-1.0850
335,2026,25,0,100,1,3,93,380,0,117,82,432,19,45,79,75,89,91,0,1,25,25,0,0,0,62,28,0,4,2,25,0,0,0,1,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0.0000,359.6000,0,280,0.0000
335,2026,25,0,100,1,2,34,154,0,52,34,186,13,28,40,37,34,32,0,2,25,25,0,0,0,29,14,1,1,3,6,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0000,158.5000,0,104,0.0000
335,2027,25,0,100,1,1,38,148,0,37,32,171,13,18,22,20,33,47,674,1,7,7,0,3,0,24,9,0,3,0,4,0,0,0,2,2,0,0,2,0,0,0,0,0,3,1,0,0,0,-0.7435,186.8000,0,115,0.4480
335,2027,25,0,100,1,3,32,128,0,34,25,145,8,14,17,15,29,41,0,2,7,7,0,0,0,24,8,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,158.1000,0,98,0.0000
335,2027,25,0,100,1,2,5,20,0,3,7,26,5,4,5,5,4,6,0,2,7,7,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,28.7000,0,17,0.0000
