"team_id","parent_team_id","league_id","player_id","year","ab","h","SO","pa","pitches_seen","g","Dbl","Trp","hr","r","rbi","sb","bb","ibb","sf","hp","ip","p_ab","p_tb","ha","k","walks","p_r","er","w","l","s","p_sf","hra","qs","cg","sho","hld","zr","war","games","games_remaining","pa_pace","avg","obp","sin","rc","tb","slg","ops","iso","b_babip","bat_k_pcnt","bat_bb_pcnt","bat_k_bb_pcnt","era","whip","p_babip","fip","HR_per_9","R_per_9","H_per_9","K_per_9","BB_per_9","pit_k_pcnt","pit_bb_pcnt","pit_k_bb_pcnt","full_name","position_name","league_abbr","parent_team_abbr","team_name","winloss","name_pos","url"
1,1,100,51,2021,1,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,-0.02,162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ollie Daniels","LF","PBE","NYV","New York Voyagers","0 - 0","Ollie Daniels - LF","http://www.pbesim.com/players/player_51.html"
1,1,100,189,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lance Travis","2B","PBE","NYV","New York Voyagers","0 - 0","Lance Travis - 2B","http://www.pbesim.com/players/player_189.html"
1,1,100,97,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,595,0,180,64,35,83,80,10,10,0,5,25,12,0,0,0,0.2252,-1.85,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.898,1.463,0.303,5.15,1.53,5.08,11.02,3.92,2.14,0.11,0.06,0.05,"Pene Pequeño","P","PBE","NYV","New York Voyagers","10 - 10","Pene Pequeño - P","http://www.pbesim.com/players/player_97.html"
1,1,100,208,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,648,0,182,131,29,97,91,5,12,0,1,30,11,1,0,0,0.1746,1.07,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.025,1.294,0.311,4.42,1.66,5.36,10.05,7.23,1.6,0.2,0.04,0.16,"Elston Sinclair","P","PBE","NYV","New York Voyagers","5 - 12","Elston Sinclair - P","http://www.pbesim.com/players/player_208.html"
1,1,100,29,2023,405,103,63,441,1538,100,25,2,11,47,56,0,23,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3332,1.42,162,0,441,0.254,0.308,65,51,165,0.407,0.715,0.153,0.275,0.14,0.05,0.09,0,0,0,0,0,0,0,0,0,0,0,0,"Weldon Borthwell","3B","PBE","NYV","New York Voyagers","0 - 0","Weldon Borthwell - 3B","http://www.pbesim.com/players/player_29.html"
1,1,100,208,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,688,0,186,140,32,72,64,11,8,0,3,12,18,0,0,0,-0.309,4.35,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.329,1.26,0.323,2.94,0.62,3.75,9.68,7.28,1.66,0.2,0.05,0.15,"Elston Sinclair","P","PBE","NYV","New York Voyagers","11 - 8","Elston Sinclair - P","http://www.pbesim.com/players/player_208.html"
1,1,100,147,2023,387,90,89,419,1523,100,16,5,12,39,36,0,26,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8053,0.46,162,0,419,0.233,0.289,57,44,152,0.393,0.682,0.16,0.272,0.21,0.06,0.15,0,0,0,0,0,0,0,0,0,0,0,0,"Phillip J Fry","RF","PBE","NYV","New York Voyagers","0 - 0","Phillip J Fry - RF","http://www.pbesim.com/players/player_147.html"
1,1,100,14,2024,385,107,106,407,1542,100,24,0,16,51,51,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811,1.9,162,0,407,0.278,0.317,67,57,179,0.465,0.782,0.187,0.346,0.26,0.05,0.21,0,0,0,0,0,0,0,0,0,0,0,0,"Nate Piazza","C","PBE","NYV","New York Voyagers","0 - 0","Nate Piazza - C","http://www.pbesim.com/players/player_14.html"
1,1,100,95,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,11,4,5,8,8,0,4,1,1,3,0,0,0,0,0.0158,-0.66,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,3.2,0.444,12.3,5.4,14.4,19.8,7.2,9,0.17,0.21,-0.04,"Bouf LeBeef","P","PBE","NYV","New York Voyagers","0 - 4","Bouf LeBeef - P","http://www.pbesim.com/players/player_95.html"
1,1,100,218,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,86,0,23,13,14,11,10,3,0,1,4,1,0,0,0,0,-0.1282,-0.13,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.091,1.682,0.289,4.42,0.41,4.5,9.41,5.32,5.73,0.15,0.16,-0.01,"Felipe Fernandez","P","PBE","NYV","New York Voyagers","3 - 0","Felipe Fernandez - P","http://www.pbesim.com/players/player_218.html"
