"league_id","team_id","game_id","date","time","innings","runs","hits","team_abbr","team_name","home/away","win","loss","division","league_abbr"
100,10,4,"2027-5-15",1905,9,7,9,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,8,"2027-5-16",1905,18,9,14,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,12,"2027-5-17",1905,10,8,11,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,14,"2027-5-18",1905,9,11,14,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,16,"2027-5-20",1905,9,0,3,"DV","Death Valley Scorpions","away",0,1,"Western Division","PBE"
100,10,20,"2027-5-21",1905,9,1,5,"DV","Death Valley Scorpions","away",0,1,"Western Division","PBE"
100,10,24,"2027-5-22",1905,9,4,9,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,31,"2027-5-25",1905,9,5,9,"DV","Death Valley Scorpions","home",1,0,"Western Division","PBE"
100,10,35,"2027-5-26",1905,9,5,10,"DV","Death Valley Scorpions","home",1,0,"Western Division","PBE"
100,10,39,"2027-5-27",1905,9,11,12,"DV","Death Valley Scorpions","home",1,0,"Western Division","PBE"
100,10,41,"2027-5-28",1905,9,10,14,"DV","Death Valley Scorpions","home",1,0,"Western Division","PBE"
100,10,45,"2027-5-30",1905,9,20,14,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,49,"2027-5-31",1905,9,0,2,"DV","Death Valley Scorpions","away",0,1,"Western Division","PBE"
100,10,53,"2027-6-1",1905,9,5,10,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,58,"2027-6-4",1905,9,2,4,"DV","Death Valley Scorpions","home",0,1,"Western Division","PBE"
100,10,62,"2027-6-5",1905,9,7,12,"DV","Death Valley Scorpions","home",1,0,"Western Division","PBE"
100,10,66,"2027-6-6",1905,9,5,7,"DV","Death Valley Scorpions","home",1,0,"Western Division","PBE"
100,10,68,"2027-6-9",1905,9,2,4,"DV","Death Valley Scorpions","home",0,1,"Western Division","PBE"
100,10,72,"2027-6-10",1905,9,6,10,"DV","Death Valley Scorpions","home",1,0,"Western Division","PBE"
100,10,76,"2027-6-11",1905,9,2,9,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,80,"2027-6-12",1905,9,6,13,"DV","Death Valley Scorpions","away",0,1,"Western Division","PBE"
100,10,86,"2027-6-15",1905,9,5,8,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,90,"2027-6-16",1905,9,11,15,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,94,"2027-6-17",1905,9,9,15,"DV","Death Valley Scorpions","away",1,0,"Western Division","PBE"
100,10,97,"2027-6-19",1905,9,4,5,"DV","Death Valley Scorpions","home",1,0,"Western Division","PBE"
100,24,2,"2027-5-15",1905,9,12,10,"FL","Florida Space Rangers","home",1,0,"Eastern Division","PBE"
100,24,6,"2027-5-16",1905,9,6,12,"FL","Florida Space Rangers","home",1,0,"Eastern Division","PBE"
100,24,10,"2027-5-17",1905,9,1,5,"FL","Florida Space Rangers","home",0,1,"Eastern Division","PBE"
100,24,13,"2027-5-18",1905,9,4,10,"FL","Florida Space Rangers","home",1,0,"Eastern Division","PBE"
100,24,16,"2027-5-20",1905,9,4,10,"FL","Florida Space Rangers","home",1,0,"Eastern Division","PBE"
100,24,20,"2027-5-21",1905,9,4,6,"FL","Florida Space Rangers","home",1,0,"Eastern Division","PBE"
100,24,24,"2027-5-22",1905,9,2,7,"FL","Florida Space Rangers","home",0,1,"Eastern Division","PBE"
100,24,30,"2027-5-25",1905,9,5,8,"FL","Florida Space Rangers","away",0,1,"Eastern Division","PBE"
100,24,33,"2027-5-26",1905,9,0,8,"FL","Florida Space Rangers","away",0,1,"Eastern Division","PBE"
100,24,37,"2027-5-27",1905,9,3,12,"FL","Florida Space Rangers","away",0,1,"Eastern Division","PBE"
100,24,42,"2027-5-30",1905,9,5,10,"FL","Florida Space Rangers","away",1,0,"Eastern Division","PBE"
100,24,46,"2027-5-31",1905,9,14,15,"FL","Florida Space Rangers","away",1,0,"Eastern Division","PBE"
100,24,50,"2027-6-1",1905,9,5,9,"FL","Florida Space Rangers","home",1,0,"Eastern Division","PBE"
100,24,54,"2027-6-2",1905,9,16,14,"FL","Florida Space Rangers","home",1,0,"Eastern Division","PBE"
100,24,55,"2027-6-4",1905,15,8,13,"FL","Florida Space Rangers","home",1,0,"Eastern Division","PBE"
100,24,59,"2027-6-5",1905,9,6,6,"FL","Florida Space Rangers","home",0,1,"Eastern Division","PBE"
100,24,63,"2027-6-6",1905,9,9,11,"FL","Florida Space Rangers","home",1,0,"Eastern Division","PBE"
100,24,71,"2027-6-9",1905,9,6,12,"FL","Florida Space Rangers","home",1,0,"Eastern Division","PBE"
100,24,75,"2027-6-10",1905,9,8,10,"FL","Florida Space Rangers","home",0,1,"Eastern Division","PBE"
100,24,79,"2027-6-11",1905,11,4,10,"FL","Florida Space Rangers","away",0,1,"Eastern Division","PBE"
100,24,81,"2027-6-12",1905,9,6,12,"FL","Florida Space Rangers","away",1,0,"Eastern Division","PBE"
100,24,84,"2027-6-14",1905,9,8,11,"FL","Florida Space Rangers","away",1,0,"Eastern Division","PBE"
100,24,88,"2027-6-15",1905,9,4,11,"FL","Florida Space Rangers","away",1,0,"Eastern Division","PBE"
100,24,92,"2027-6-16",1905,9,11,13,"FL","Florida Space Rangers","away",1,0,"Eastern Division","PBE"
100,24,96,"2027-6-19",1905,9,0,8,"FL","Florida Space Rangers","away",0,1,"Eastern Division","PBE"
100,1,1,"2027-5-15",1905,9,1,5,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE"
100,1,5,"2027-5-16",1905,9,4,7,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE"
100,1,9,"2027-5-17",1905,11,7,11,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE"
100,1,17,"2027-5-20",1905,9,4,3,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE"
100,1,21,"2027-5-21",1905,9,9,10,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE"
100,1,25,"2027-5-22",1905,9,4,9,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE"
100,1,28,"2027-5-23",1905,9,19,22,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE"
100,1,29,"2027-5-25",1905,9,4,9,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE"
100,1,32,"2027-5-26",1905,9,1,7,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE"
100,1,36,"2027-5-27",1905,9,2,7,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE"
100,1,45,"2027-5-30",1905,9,4,8,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE"
100,1,49,"2027-5-31",1905,9,7,6,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE"
100,1,53,"2027-6-1",1905,9,2,9,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE"
100,1,56,"2027-6-4",1905,10,5,6,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE"
100,1,60,"2027-6-5",1905,9,8,12,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE"
100,1,64,"2027-6-6",1905,9,2,8,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE"
100,1,70,"2027-6-9",1905,9,11,17,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE"
