"league_id","player_id","ab","h","SO","pa","pitches_seen","g","Dbl","Trp","hr","r","rbi","sb","bb","ibb","sf","hp","ip","p_ab","p_tb","ha","k","walks","p_r","er","w","l","s","p_sf","hra","qs","cg","sho","hld","zr","war","avg","obp","sin","rc","tb","slg","ops","iso","b_babip","bat_k_pcnt","bat_bb_pcnt","bat_k_bb_pcnt","era","whip","p_babip","fip","HR_per_9","R_per_9","H_per_9","K_per_9","BB_per_9","pit_k_pcnt","pit_bb_pcnt","pit_k_bb_pcnt","full_name","position_name","league_abbr","winloss","name_pos","url","pitch_hit"
101,120,393,117,92,438,1563,100,16,0,16,52,79,2,34,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0.298,0.362,85,66,181,0.461,0.823,0.163,0.347,0.21,0.08,0.13,0,0,0,0,0,0,0,0,0,0,0,0,"Bryce Harden","RF","MiLPBE","0 - 0","Bryce Harden - RF","http://www.pbesim.com/players/player_120.html","Hitter"
101,408,378,118,76,422,1610,100,7,0,23,58,81,0,36,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3427,2.65,0.312,0.381,88,74,194,0.513,0.894,0.201,0.338,0.18,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,"Chanandler Bong","1B","MiLPBE","0 - 0","Chanandler Bong - 1B","http://www.pbesim.com/players/player_408.html","Hitter"
101,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,448,0,133,82,48,69,65,2,9,1,2,13,4,0,0,5,-0.0492,0.85,0,0,0,0,0,0,0,0,0,0,0,0,5.318,1.645,0.338,4.45,1.06,5.65,10.88,6.71,3.93,0.18,0.11,0.07,"Felix Meier","P","MiLPBE","2 - 9","Felix Meier - P","http://www.pbesim.com/players/player_438.html","Pitcher"
101,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,558,0,138,137,93,76,71,7,4,7,7,8,0,0,0,7,-2.1776,1.31,0,0,0,0,0,0,0,0,0,0,0,0,4.347,1.571,0.31,3.84,0.49,4.65,8.45,8.39,5.69,0.25,0.17,0.08,"Hobby -Bill-","P","MiLPBE","7 - 4","Hobby -Bill- - P","http://www.pbesim.com/players/player_305.html","Pitcher"
101,410,765,235,122,882,3297,197,19,2,24,112,117,1,92,2,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.8554,5.38,0.307,0.396,190,131,330,0.431,0.827,0.124,0.339,0.14,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,"Eric Tsai","2B","MiLPBE","0 - 0","Eric Tsai - 2B","http://www.pbesim.com/players/player_410.html","Hitter"
101,411,821,239,146,888,3106,200,21,1,10,82,96,5,60,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4539,2.11,0.291,0.339,207,100,292,0.356,0.695,0.065,0.342,0.16,0.07,0.09,0,0,0,0,0,0,0,0,0,0,0,0,"Stryker Killian","2B","MiLPBE","0 - 0","Stryker Killian - 2B","http://www.pbesim.com/players/player_411.html","Hitter"
101,125,1019,279,156,1140,4220,243,16,5,21,168,101,122,107,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.8508,4,0.274,0.347,237,128,368,0.361,0.708,0.087,0.304,0.14,0.09,0.05,0,0,0,0,0,0,0,0,0,0,0,0,"Jimothy Kekton","3B","MiLPBE","0 - 0","Jimothy Kekton - 3B","http://www.pbesim.com/players/player_125.html","Hitter"
101,443,362,92,96,404,1580,100,8,2,7,39,32,0,31,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6106,0.43,0.254,0.329,75,41,125,0.345,0.674,0.091,0.327,0.24,0.08,0.16,0,0,0,0,0,0,0,0,0,0,0,0,"Jason Lester","1B","MiLPBE","0 - 0","Jason Lester - 1B","http://www.pbesim.com/players/player_443.html","Hitter"
101,444,80,23,13,96,355,35,0,0,3,16,10,0,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7099,0.28,0.288,0.392,20,13,32,0.4,0.792,0.112,0.303,0.14,0.15,-0.00999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,"Albert Blueballs","1B","MiLPBE","0 - 0","Albert Blueballs - 1B","http://www.pbesim.com/players/player_444.html","Hitter"
101,128,353,88,52,399,1446,100,11,2,3,51,35,40,39,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1386,0.71,0.249,0.328,72,37,112,0.317,0.645,0.068,0.282,0.13,0.1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,"Chase Preza","1B","MiLPBE","0 - 0","Chase Preza - 1B","http://www.pbesim.com/players/player_128.html","Hitter"
101,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,662,0,174,132,101,89,81,12,15,17,8,15,0,0,0,12,0.1282,0.81,0,0,0,0,0,0,0,0,0,0,0,0,4.288,1.618,0.304,4.48,0.79,4.71,9.21,6.99,5.35,0.2,0.15,0.05,"Botty McBotpants","P","MiLPBE","12 - 15","Botty McBotpants - P","http://www.pbesim.com/players/player_161.html","Pitcher"
101,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,1222,0,365,237,165,189,183,18,20,0,8,31,20,0,0,0,-1.6863,3.47,0,0,0,0,0,0,0,0,0,0,0,0,5.382,1.732,0.347,4.49,0.91,5.56,10.74,6.97,4.85,0.19,0.14,0.05,"Mikhail Bergen","P","MiLPBE","18 - 20","Mikhail Bergen - P","http://www.pbesim.com/players/player_335.html","Pitcher"
101,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,657,0,166,137,56,76,68,10,10,0,2,15,9,0,0,0,-0.7294,3.89,0,0,0,0,0,0,0,0,0,0,0,0,3.538,1.283,0.298,3.61,0.78,3.95,8.64,7.13,2.91,0.21,0.09,0.12,"Brock Lobster","P","MiLPBE","10 - 10","Brock Lobster - P","http://www.pbesim.com/players/player_361.html","Pitcher"
