"team","x","y","segment"
"generic",125,208,"infield_outer"
"generic",124.545454545455,207.464646464646,"infield_outer"
"generic",124.090909090909,206.929292929293,"infield_outer"
"generic",123.636363636364,206.393939393939,"infield_outer"
"generic",123.181818181818,205.858585858586,"infield_outer"
"generic",122.727272727273,205.323232323232,"infield_outer"
"generic",122.272727272727,204.787878787879,"infield_outer"
"generic",121.818181818182,204.252525252525,"infield_outer"
"generic",121.363636363636,203.717171717172,"infield_outer"
"generic",120.909090909091,203.181818181818,"infield_outer"
"generic",120.454545454545,202.646464646465,"infield_outer"
"generic",120,202.111111111111,"infield_outer"
"generic",119.545454545455,201.575757575758,"infield_outer"
"generic",119.090909090909,201.040404040404,"infield_outer"
"generic",118.636363636364,200.50505050505,"infield_outer"
"generic",118.181818181818,199.969696969697,"infield_outer"
"generic",117.727272727273,199.434343434343,"infield_outer"
"generic",117.272727272727,198.89898989899,"infield_outer"
"generic",116.818181818182,198.363636363636,"infield_outer"
"generic",116.363636363636,197.828282828283,"infield_outer"
"generic",115.909090909091,197.292929292929,"infield_outer"
"generic",115.454545454545,196.757575757576,"infield_outer"
"generic",115,196.222222222222,"infield_outer"
"generic",114.545454545455,195.686868686869,"infield_outer"
"generic",114.090909090909,195.151515151515,"infield_outer"
"generic",113.636363636364,194.616161616162,"infield_outer"
"generic",113.181818181818,194.080808080808,"infield_outer"
"generic",112.727272727273,193.545454545455,"infield_outer"
"generic",112.272727272727,193.010101010101,"infield_outer"
"generic",111.818181818182,192.474747474747,"infield_outer"
"generic",111.363636363636,191.939393939394,"infield_outer"
"generic",110.909090909091,191.40404040404,"infield_outer"
"generic",110.454545454545,190.868686868687,"infield_outer"
"generic",110,190.333333333333,"infield_outer"
"generic",109.545454545455,189.79797979798,"infield_outer"
"generic",109.090909090909,189.262626262626,"infield_outer"
"generic",108.636363636364,188.727272727273,"infield_outer"
"generic",108.181818181818,188.191919191919,"infield_outer"
"generic",107.727272727273,187.656565656566,"infield_outer"
"generic",107.272727272727,187.121212121212,"infield_outer"
"generic",106.818181818182,186.585858585859,"infield_outer"
"generic",106.363636363636,186.050505050505,"infield_outer"
"generic",105.909090909091,185.515151515152,"infield_outer"
"generic",105.454545454545,184.979797979798,"infield_outer"
"generic",105,184.444444444444,"infield_outer"
"generic",104.545454545455,183.909090909091,"infield_outer"
"generic",104.090909090909,183.373737373737,"infield_outer"
"generic",103.636363636364,182.838383838384,"infield_outer"
"generic",103.181818181818,182.30303030303,"infield_outer"
"generic",102.727272727273,181.767676767677,"infield_outer"
"generic",102.272727272727,181.232323232323,"infield_outer"
"generic",101.818181818182,180.69696969697,"infield_outer"
"generic",101.363636363636,180.161616161616,"infield_outer"
"generic",100.909090909091,179.626262626263,"infield_outer"
"generic",100.454545454545,179.090909090909,"infield_outer"
