"draft_team_id","player_id","war","draft_round","draft_pick","draft_overall_pick","full_name","position_name","team_name"
0,268,48.48,0,0,0,"Kevin Biggio","CF",NA
0,227,51.44,0,0,0,"Victoria Secret","P",NA
0,256,0.01,0,0,0,"Hunter Tuzero","LF",NA
0,220,1.9,0,0,0,"Keith Shields","P",NA
0,273,25.27,0,0,0,"Toshihiro Ishikawa","C",NA
0,259,0.29,0,0,0,"Trent Vain","RF",NA
0,260,6.92,0,0,0,"Arbin Asipi","RF",NA
0,270,41.36,0,0,0,"Vick Thunder","LF",NA
0,247,0.38,0,0,0,"Austin Dye","2B",NA
0,222,0,0,0,0,"Shea Stockton","P",NA
0,264,12.71,0,0,0,"Steven O'Sullivan","C",NA
0,245,6.56,0,0,0,"Bobby Shmurda","SS",NA
0,246,56.46,0,0,0,"Julian O'Sullivan","C",NA
0,261,0.05,0,0,0,"Pedro Cerrano","CF",NA
0,380,-0.74,0,0,0,"Kevin Winters","C",NA
0,325,-0.35,0,0,0,"Peter Kotsay","P",NA
0,269,1.98,0,0,0,"Nathaniel Zhou","LF",NA
1,122,13.48,1,3,3,"Clem Johnson","SS","New York Voyagers"
1,52,-1.3,3,3,15,"Curtis Kane","P","New York Voyagers"
1,97,1.35,1,6,6,"Pene Pequeño","P","New York Voyagers"
1,29,11.29,1,1,1,"Weldon Borthwell","3B","New York Voyagers"
1,334,-0.16,1,5,5,"Michael Lang","P","New York Voyagers"
1,309,-0.64,5,2,26,"Tiddlywink McTicklestick","P","New York Voyagers"
1,103,-1.17,6,6,36,"Phil Macioce","2B","New York Voyagers"
1,6,-0.22,1,3,3,"Cesar  Ellis","P","New York Voyagers"
1,17,4.91,2,1,7,"Ryan Stryker","P","New York Voyagers"
1,51,-0.63,2,2,8,"Ollie Daniels","LF","New York Voyagers"
1,155,-3.52,4,2,20,"Jayran Mackson","P","New York Voyagers"
1,353,-0.86,3,1,13,"Tristan Cameron","RF","New York Voyagers"
1,95,-0.45,7,3,39,"Bouf LeBeef","P","New York Voyagers"
1,149,-3.75,2,2,8,"George McBash","1B","New York Voyagers"
1,96,-0.26,3,6,18,"Kruton Bazko","P","New York Voyagers"
1,10,8.32,3,1,13,"Ludwig Groetzinger","P","New York Voyagers"
1,105,0.17,7,6,42,"Trippie Redd","LF","New York Voyagers"
1,354,-1.45,1,6,6,"Joshua Linton","2B","New York Voyagers"
1,424,-2,4,4,28,"TopGun Sheelay","C","New York Voyagers"
1,14,6.53,1,5,5,"Nate Piazza","C","New York Voyagers"
1,50,-0.72,3,4,16,"Rodney Flecha","P","New York Voyagers"
1,99,0.03,2,6,12,"Miwa Langley","LF","New York Voyagers"
1,358,1.77,2,4,10,"Colton Hagan","P","New York Voyagers"
1,361,-0.99,4,4,22,"Brock Lobster","P","New York Voyagers"
1,479,-1.2,5,3,35,"Bartolo Pizza","P","New York Voyagers"
1,69,2.87,1,4,4,"Lucas North","P","New York Voyagers"
1,147,3.36,2,3,9,"Phillip J Fry","RF","New York Voyagers"
1,326,0.19,4,2,20,"Dionte Washington","P","New York Voyagers"
1,94,2.23,4,6,24,"George Delrod","SS","New York Voyagers"
1,421,-0.8,2,3,11,"Justin Verbeek","P","New York Voyagers"
1,98,-1.31,5,6,30,"Addison Steinbach","P","New York Voyagers"
1,146,0.08,3,4,16,"Louis  Storm ","2B","New York Voyagers"
2,89,-0.08,4,5,23,"Marc Garvey","CF","Outer Banks Aviators"
2,316,-5.63,3,6,18,"Jimmy  Caliburn ","1B","Outer Banks Aviators"
2,335,-3.53,2,6,12,"Mikhail Bergen","P","Outer Banks Aviators"
2,26,-1.17,4,6,24,"Michael  O'Dowd","P","Outer Banks Aviators"
2,53,-0.34,4,1,19,"Kahlil Callahan","P","Outer Banks Aviators"
2,116,-0.46,8,5,47,"Gabriel Verhaegen","P","Outer Banks Aviators"
2,90,-2.22,2,5,11,"Asipi Cantor","P","Outer Banks Aviators"
2,70,-0.28,5,4,28,"Jax Hunter","P","Outer Banks Aviators"
2,327,-0.69,1,2,2,"Alyssa Elliot","P","Outer Banks Aviators"
2,156,-0.79,2,5,11,"John Cheng","P","Outer Banks Aviators"
2,27,19.83,1,3,3,"Mookie Banks","P","Outer Banks Aviators"
2,132,5.85,3,1,13,"J.R. Wilson","P","Outer Banks Aviators"
2,137,-0.82,4,1,19,"Jordan von Matt","LF","Outer Banks Aviators"
2,159,14.2,1,2,2,"Connor Tanner","CF","Outer Banks Aviators"
2,356,-0.08,3,5,17,"Jasper Clayton","C","Outer Banks Aviators"
2,93,0,5,5,29,"Sam Sinister","SS","Outer Banks Aviators"
2,55,-1.25,3,1,13,"Eric Bilitnikov","C","Outer Banks Aviators"
2,86,-0.59,2,2,8,"Harvey Bones","P","Outer Banks Aviators"
2,87,7.43,3,5,17,"Jake Stennett","RF","Outer Banks Aviators"
2,24,7.85,4,2,20,"Kimetrius  Webster ","1B","Outer Banks Aviators"
2,59,-0.85,1,1,1,"John Doe","CF","Outer Banks Aviators"
2,151,-0.3,3,1,13,"Kellan Buchanan","3B","Outer Banks Aviators"
2,168,1.3,1,5,5,"Kai-Wei Mai","P","Outer Banks Aviators"
2,88,-0.87,2,1,7,"Kenny Kawaguchi","P","Outer Banks Aviators"
2,54,-0.42,2,1,7,"Virgil Fox","1B","Outer Banks Aviators"
2,21,-4.92,3,2,14,"Sleve McDichael","RF","Outer Banks Aviators"
2,20,9.5,2,2,8,"Billy Benson","C","Outer Banks Aviators"
2,315,0.69,1,6,6,"Ace Faulkner","P","Outer Banks Aviators"
2,328,-0.12,1,2,2,"Tony Pisano","P","Outer Banks Aviators"
2,23,-1.44,1,4,4,"Esteban  Ramirez","CF","Outer Banks Aviators"
2,344,1.42,3,1,13,"Alexander Blitz","2B","Outer Banks Aviators"
2,345,-1.33,4,6,24,"Brock Beck","2B","Outer Banks Aviators"
2,362,-1.77,2,6,12,"Catchy Boija","1B","Outer Banks Aviators"
2,36,0.69,1,6,6,"J.W.  Doyle","P","Outer Banks Aviators"
2,331,1.35,1,3,3,"Coreys Brother","P","Outer Banks Aviators"
2,91,0.68,5,2,26,"Michael Paolino","C","Outer Banks Aviators"
2,336,0.79,2,1,7,"JJ Windsor","P","Outer Banks Aviators"
2,337,-0.65,2,3,9,"Johnathon Livingston","P","Outer Banks Aviators"
2,343,-0.1,4,1,19,"Marc Courtremanche","1B","Outer Banks Aviators"
3,30,-4.09,2,4,10,"Thunder Strokeharder","C","Providence Crabs"
3,118,0.4,8,1,43,"Billy Bates","2B","Providence Crabs"
3,61,0,5,3,27,"James Bondfire","C","Providence Crabs"
3,167,-1.27,5,1,25,"Mew Ford","SS","Providence Crabs"
3,120,0.84,4,1,19,"Bryce Harden","RF","Providence Crabs"
3,329,1.82,1,4,4,"Pete Peters","P","Providence Crabs"
3,82,2.75,4,2,20,"Pretzels McCringleberry III","3B","Providence Crabs"
3,130,0.92,6,4,34,"Marcus Strikeout","P","Providence Crabs"
3,346,-6.42,3,4,16,"Dexter Paquette","LF","Providence Crabs"
3,39,0.2,1,4,4,"Michael Rapinski","3B","Providence Crabs"
3,80,0.26,1,2,2,"Bobby Outman","P","Providence Crabs"
3,402,0.04,4,3,27,"John BIII","P","Providence Crabs"
3,83,-0.72,7,1,37,"Ulysses Covfefe","CF","Providence Crabs"
3,56,-0.36,2,4,10,"Pete Rose","P","Providence Crabs"
3,84,-0.09,6,1,31,"Mam Siller","1B","Providence Crabs"
3,66,-1.85,4,5,23,"Keeks Marone","LF","Providence Crabs"
3,306,0.87,5,3,27,"Ben Waters","2B","Providence Crabs"
3,417,-1.59,2,4,12,"Fenway Turner","1B","Providence Crabs"
3,22,10.91,1,4,4,"Tyler Oles","P","Providence Crabs"
3,57,-0.42,2,6,12,"Alvin Enax","P","Providence Crabs"
3,81,30.95,3,3,15,"Eduardo Dinero","SS","Providence Crabs"
3,25,-0.25,3,4,16,"Richard Physt","1B","Providence Crabs"
3,415,-0.09,3,6,22,"Olle Sylvegaard","1B","Providence Crabs"
3,9,-0.51,4,4,22,"King Swamp Troll","LF","Providence Crabs"
3,85,1.31,1,2,2,"Akamai Kalawai'a","P","Providence Crabs"
3,419,-1.07,5,2,34,"Jahseh Tentacion","LF","Providence Crabs"
3,187,0.73,5,5,29,"Mahmoud Ajlouni","C","Providence Crabs"
3,173,32.54,1,1,1,"Jarrod Stanton","2B","Providence Crabs"
3,394,0.11,1,2,2,"Chase Petten","P","Providence Crabs"
3,418,-1.78,3,3,19,"Richard Small","LF","Providence Crabs"
9,60,13.85,1,6,6,"Joffrey Baratheon","C","San Antonio Sloths"
9,121,27.26,6,2,32,"Roger Baton","2B","San Antonio Sloths"
9,92,-3.69,4,1,19,"Zack Malatesta","LF","San Antonio Sloths"
9,102,2.26,5,4,28,"Will Morris","P","San Antonio Sloths"
9,43,5.36,2,5,11,"Trent Boult","P","San Antonio Sloths"
9,365,0.6,1,3,3,"Yeliboy Uecker","LF","San Antonio Sloths"
9,67,0.98,4,6,24,"Gray Goose McGillicuddy","P","San Antonio Sloths"
9,311,1.7,1,3,3,"Adam Squiggly","P","San Antonio Sloths"
9,107,-1.63,6,5,35,"Brandon Adams","P","San Antonio Sloths"
9,46,3.67,1,4,4,"Fastguy Pitcherman","P","San Antonio Sloths"
9,13,-0.31,3,5,17,"AJ  Robertson ","1B","San Antonio Sloths"
9,111,20.01,7,2,38,"Simon Hans","3B","San Antonio Sloths"
9,42,4.77,2,4,10,"Goosebumps Walkaway","P","San Antonio Sloths"
9,377,0.18,3,3,15,"Patrick Kelley","2B","San Antonio Sloths"
9,45,13.62,1,5,5,"Matthew Auston","P","San Antonio Sloths"
9,364,-1.02,1,5,5,"Ulysses Rove","2B","San Antonio Sloths"
9,33,1.27,4,5,23,"Randy Magnum","P","San Antonio Sloths"
9,16,4.06,1,2,2,"Anderson Pooper","P","San Antonio Sloths"
9,313,-0.17,3,3,15,"Refugio Castro","C","San Antonio Sloths"
9,112,-0.82,8,2,44,"John Luther","P","San Antonio Sloths"
9,68,0.36,5,2,26,"Ben O'Leary","C","San Antonio Sloths"
9,145,11.28,2,3,9,"Bobby Hill","P","San Antonio Sloths"
10,15,12.52,2,3,9,"Jimmy  Dong ","CF","Death Valley Scorpions"
10,368,2.07,1,4,4,"Frederick Birdington","P","Death Valley Scorpions"
10,18,-1.04,3,3,15,"Mac Kaarbine","P","Death Valley Scorpions"
10,310,5.07,1,1,1,"Speedy Boi","LF","Death Valley Scorpions"
10,349,3.95,1,1,1,"Amp Bogart","RF","Death Valley Scorpions"
10,333,-0.64,2,2,8,"Kosuke Yamauchi","P","Death Valley Scorpions"
10,47,0.02,3,3,15,"Logan Cox","C","Death Valley Scorpions"
10,31,-1.17,1,5,5,"Billy Baxter","1B","Death Valley Scorpions"
10,49,-0.26,4,2,20,"Sam Cheung","2B","Death Valley Scorpions"
10,44,-0.46,3,1,13,"Stuart Westerkamp","C","Death Valley Scorpions"
10,101,10.83,2,3,9,"Anna Joosten","P","Death Valley Scorpions"
10,48,23.63,1,5,5,"Paulo Di Stephano","RF","Death Valley Scorpions"
10,12,11.89,4,3,21,"Guy Walker","P","Death Valley Scorpions"
10,138,0.94,2,4,10,"Brett Smoky","P","Death Valley Scorpions"
10,100,2.26,1,3,3,"Benton MacKaye","P","Death Valley Scorpions"
10,170,-0.36,5,3,27,"Ez Eldin Deng","P","Death Valley Scorpions"
10,376,-0.09,4,2,20,"Lewis Robertson","3B","Death Valley Scorpions"
10,72,-0.33,4,3,21,"Hans Herjolfur","P","Death Valley Scorpions"
10,119,17.22,2,3,9,"Ziggy Coffey","1B","Death Valley Scorpions"
10,366,0.6,2,3,9,"Isidore Fox","CF","Death Valley Scorpions"
10,127,1.42,1,5,5,"Damien Walec","P","Death Valley Scorpions"
10,28,-4.44,1,1,1,"Takumi  Fujiwara ","3B","Death Valley Scorpions"
10,35,-0.5,2,6,12,"TJ Sparks","P","Death Valley Scorpions"
10,320,-0.15,5,1,25,"Martinez Pedro","P","Death Valley Scorpions"
10,124,7.38,2,1,7,"Hawk Russell","LF","Death Valley Scorpions"
10,158,1.59,2,5,11,"Catolo Kittone","C","Death Valley Scorpions"
10,341,-0.22,2,5,11,"Johny Matthews","2B","Death Valley Scorpions"
10,34,1.58,1,1,1,"Omar Wright","P","Death Valley Scorpions"
10,126,23.29,4,3,21,"Khamati Kahn","P","Death Valley Scorpions"
10,125,-1.32,4,4,22,"Jimothy Kekton","3B","Death Valley Scorpions"
10,157,-0.72,2,2,8,"Alex Rolison","P","Death Valley Scorpions"
11,64,-0.41,3,5,17,"Kazuya Miyuki","C","Vancouver Vandals"
11,321,-4.54,1,6,6,"Toledo Jones","1B","Vancouver Vandals"
11,78,16.81,3,2,14,"Steven Moore","3B","Vancouver Vandals"
11,79,-0.48,4,4,22,"Mariano Riviera","P","Vancouver Vandals"
11,375,-0.23,2,1,7,"Hunter Harrison","3B","Vancouver Vandals"
11,76,35.92,2,4,10,"Greg Steiner","P","Vancouver Vandals"
11,77,34.43,3,4,16,"Phillip Thompson","P","Vancouver Vandals"
11,73,-0.25,3,6,18,"Dongus Dio","1B","Vancouver Vandals"
11,75,0.14,7,4,40,"Cody Braun","SS","Vancouver Vandals"
11,409,-0.32,1,5,5,"Kyle Bellinger","2B","Vancouver Vandals"
11,390,-0.3,6,1,41,"Josh Kings","2B","Vancouver Vandals"
11,355,0.62,2,2,8,"Arbin Asipi Jr","SS","Vancouver Vandals"
11,140,-5.11,3,6,18,"Orlando Jackson","DH","Vancouver Vandals"
11,363,-2.31,4,3,21,"CJ Henderson","P","Vancouver Vandals"
11,165,6.41,1,4,4,"Chuck Gamble","P","Vancouver Vandals"
11,342,0.17,3,6,18,"Jeffrey Murphy","2B","Vancouver Vandals"
11,11,7.74,1,2,2,"Chris Bennett","P","Vancouver Vandals"
11,58,-0.52,3,2,14,"Boomerang Goblin","1B","Vancouver Vandals"
11,62,27.66,1,3,3,"D'Aroldis Borkman","P","Vancouver Vandals"
11,123,-1.58,2,1,7,"Mason Brown","P","Vancouver Vandals"
11,404,-0.31,2,7,15,"Leo Komarov","P","Vancouver Vandals"
11,323,-2.45,5,4,28,"Benjamin Beaux","LF","Vancouver Vandals"
11,8,0.8,2,6,12,"Godfrey Bowman","RF","Vancouver Vandals"
11,367,-1.43,2,5,11,"Seth Porter","P","Vancouver Vandals"
11,65,3.6,1,2,2,"Huki Hawaii","C","Vancouver Vandals"
11,396,0.05,1,6,6,"Peter Dawson","P","Vancouver Vandals"
11,400,1.3,2,2,10,"Dafydd Davies","P","Vancouver Vandals"
11,360,1.29,1,1,1,"Barry Keller","P","Vancouver Vandals"
11,19,0,2,5,11,"Ike Thompson","2B","Vancouver Vandals"
11,319,0.17,3,2,14,"Michael Oxhard","P","Vancouver Vandals"
11,7,0.04,1,6,6,"Reggie Malone","LF","Vancouver Vandals"
24,379,-1.74,1,1,1,"John DeMars","LF","Florida Space Rangers"
24,401,1.02,5,4,36,"Hayley MaConnell","P","Florida Space Rangers"
24,406,-0.27,4,1,25,"Tater Sewell","C","Florida Space Rangers"
24,408,-1.17,3,2,18,"Chanandler Bong","1B","Florida Space Rangers"
24,398,-0.05,2,8,16,"Adrian Kaine","P","Florida Space Rangers"
24,399,0.42,1,3,3,"J.A. Jabs","P","Florida Space Rangers"
25,426,-0.68,3,5,21,"Epictitus Milburn","P","Utah Railroaders"
25,427,-0.98,1,4,4,"Seth Crossland","CF","Utah Railroaders"
25,428,-0.53,3,1,17,"D.J. Steele","1B","Utah Railroaders"
25,430,-0.75,5,8,40,"JD Jacks","2B","Utah Railroaders"
25,431,0.02,4,8,32,"Stratfer Wakera","1B","Utah Railroaders"
25,435,-1.22,2,1,9,"Moises  Hammond","C","Utah Railroaders"
25,436,-1.68,3,4,20,"Artem Maximovich","1B","Utah Railroaders"
25,466,0.5,1,4,4,"Colben Fairborn","P","Utah Railroaders"
25,392,-1.68,3,8,24,"Dorothy Morimura","RF","Utah Railroaders"
