"player_id","service.time","label","position_name"
457,1,"Total","CL"
458,1,"Total","CL"
461,1,"Total","CF"
463,1,"Total","CL"
464,1,"Total","CL"
465,1,"Total","SP"
466,1,"Total","CL"
467,1,"Total","CL"
468,1,"Total","C"
470,1,"Total","1B"
472,1,"Total","2B"
473,1,"Total","LF"
474,1,"Total","1B"
475,1,"Total","LF"
476,1,"Total","LF"
477,1,"Total","LF"
478,1,"Total","2B"
479,1,"Total","CL"
480,1,"Total","SP"
481,1,"Total","SP"
482,1,"Total","3B"
483,1,"Total","C"
484,1,"Total","1B"
485,1,"Total","CL"
486,1,"Total","SP"
487,1,"Total","SP"
488,1,"Total","SP"
489,1,"Total","CL"
490,1,"Total","LF"
491,1,"Total","CL"
492,1,"Total","SS"
493,1,"Total","SP"
494,1,"Total","SP"
495,1,"Total","SP"
496,1,"Total","SS"
497,1,"Total","C"
