"player_id","service.time","label","position_name"
109,4,"MIPBE","CL"
110,1,"PBE","3B"
110,1,"Total","3B"
111,9,"PBE","3B"
111,9,"Total","3B"
112,2,"MIPBE","CL"
112,5,"Total","CL"
112,3,"PBE","CL"
113,1,"Total","1B"
113,1,"PBE","1B"
114,1,"Total","LF"
114,1,"PBE","LF"
115,5,"Total","CL"
115,1,"PBE","CL"
115,4,"MIPBE","CL"
116,1,"MIPBE","CL"
116,3,"PBE","CL"
116,4,"Total","CL"
117,1,"Total","SP"
117,1,"PBE","SP"
118,4,"Total","2B"
118,4,"PBE","2B"
119,10,"Total","1B"
119,10,"PBE","1B"
120,1,"MIPBE","RF"
120,4,"Total","RF"
120,3,"PBE","RF"
121,9,"Total","2B"
121,9,"PBE","2B"
122,7,"Total","SS"
122,7,"PBE","SS"
123,5,"PBE","SP"
123,5,"Total","SP"
124,7,"Total","LF"
124,7,"PBE","LF"
125,4,"Total","3B"
125,1,"PBE","3B"
125,3,"MIPBE","3B"
126,9,"Total","SP"
126,9,"PBE","SP"
127,5,"PBE","SP"
127,5,"Total","SP"
128,1,"MIPBE","1B"
128,1,"Total","1B"
129,1,"PBE","LF"
129,1,"Total","LF"
130,9,"Total","CL"
130,9,"PBE","CL"
131,1,"Total","1B"
131,1,"PBE","1B"
132,6,"Total","SP"
132,6,"PBE","SP"
134,2,"MIPBE","SP"
134,2,"Total","SP"
135,2,"MIPBE","3B"
135,2,"Total","3B"
136,3,"Total","CL"
136,3,"MIPBE","CL"
137,5,"PBE","LF"
137,5,"Total","LF"
138,3,"PBE","CL"
138,2,"MIPBE","CL"
138,5,"Total","CL"
139,3,"MIPBE","1B"
139,3,"Total","1B"
140,6,"PBE","DH"
140,1,"MIPBE","DH"
140,7,"Total","DH"
141,1,"PBE","CF"
141,1,"Total","CF"
142,1,"Total","2B"
142,1,"PBE","2B"
143,1,"Total","CL"
143,1,"PBE","CL"
144,5,"Total","CL"
144,1,"PBE","CL"
144,4,"MIPBE","CL"
145,1,"MIPBE","SP"
145,5,"Total","SP"
145,4,"PBE","SP"
146,2,"MIPBE","2B"
146,5,"Total","2B"
146,3,"PBE","2B"
147,7,"PBE","RF"
147,7,"Total","RF"
148,1,"PBE","CL"
148,1,"Total","CL"
149,5,"PBE","1B"
149,5,"Total","1B"
150,1,"Total","CL"
150,1,"PBE","CL"
151,5,"PBE","3B"
151,5,"Total","3B"
152,1,"PBE","CL"
152,1,"Total","CL"
153,4,"MIPBE","RF"
153,4,"Total","RF"
154,1,"Total","RF"
154,1,"MIPBE","RF"
155,1,"MIPBE","CL"
155,3,"PBE","CL"
155,4,"Total","CL"
156,9,"Total","CL"
156,9,"PBE","CL"
157,2,"PBE","CL"
157,6,"Total","CL"
157,4,"MIPBE","CL"
158,1,"MIPBE","C"
158,5,"Total","C"
158,4,"PBE","C"
159,7,"Total","CF"
159,7,"PBE","CF"
160,1,"PBE","CL"
160,1,"Total","CL"
161,4,"Total","CL"
161,1,"PBE","CL"
161,3,"MIPBE","CL"
162,1,"PBE","CL"
162,5,"Total","CL"
162,4,"MIPBE","CL"
163,1,"Total","CL"
163,1,"PBE","CL"
164,1,"Total","CL"
164,1,"PBE","CL"
165,10,"Total","CL"
165,10,"PBE","CL"
166,3,"PBE","CL"
166,3,"Total","CL"
167,3,"PBE","SS"
167,3,"Total","SS"
168,9,"PBE","CL"
168,9,"Total","CL"
169,1,"Total","3B"
169,1,"PBE","3B"
170,4,"Total","CL"
170,3,"PBE","CL"
170,1,"MIPBE","CL"
171,10,"PBE","1B"
171,10,"Total","1B"
172,4,"Total","CL"
172,4,"PBE","CL"
173,10,"PBE","2B"
173,10,"Total","2B"
174,10,"Total","SP"
174,10,"PBE","SP"
175,3,"PBE","SS"
175,3,"Total","SS"
176,3,"Total","RF"
176,3,"PBE","RF"
177,8,"Total","RF"
177,8,"PBE","RF"
178,10,"Total","CF"
178,10,"PBE","CF"
180,10,"PBE","CF"
180,10,"Total","CF"
181,4,"Total","LF"
181,4,"PBE","LF"
182,7,"Total","1B"
182,7,"PBE","1B"
184,1,"Total","3B"
184,1,"PBE","3B"
185,10,"PBE","2B"
185,10,"Total","2B"
186,5,"Total","3B"
186,5,"PBE","3B"
187,7,"PBE","C"
187,7,"Total","C"
189,7,"PBE","2B"
189,7,"Total","2B"
190,1,"MIPBE","3B"
190,7,"PBE","3B"
190,8,"Total","3B"
191,8,"PBE","C"
191,8,"Total","C"
192,10,"PBE","CL"
192,10,"Total","CL"
193,1,"Total","2B"
193,1,"PBE","2B"
194,3,"Total","CL"
194,1,"MIPBE","CL"
194,2,"PBE","CL"
195,6,"PBE","CL"
195,6,"Total","CL"
196,9,"Total","CL"
196,9,"PBE","CL"
197,10,"Total","SP"
197,10,"PBE","SP"
198,10,"Total","CL"
198,10,"PBE","CL"
199,1,"PBE","SS"
199,1,"Total","SS"
200,10,"Total","SP"
200,10,"PBE","SP"
201,9,"Total","C"
201,9,"PBE","C"
202,4,"Total","CF"
202,3,"PBE","CF"
202,1,"MIPBE","CF"
203,10,"PBE","SP"
203,10,"Total","SP"
204,10,"Total","C"
204,10,"PBE","C"
205,4,"PBE","SS"
205,4,"Total","SS"
206,10,"PBE","SS"
206,10,"Total","SS"
207,7,"Total","SP"
207,7,"PBE","SP"
208,10,"Total","SP"
208,10,"PBE","SP"
209,2,"PBE","CF"
209,2,"Total","CF"
210,5,"PBE","CL"
210,5,"Total","CL"
211,8,"Total","SP"
211,8,"PBE","SP"
212,3,"Total","SP"
212,3,"PBE","SP"
213,9,"Total","CL"
213,9,"PBE","CL"
214,8,"Total","CL"
214,8,"PBE","CL"
215,6,"PBE","CL"
215,6,"Total","CL"
216,1,"MIPBE","CL"
216,5,"PBE","CL"
216,6,"Total","CL"
218,10,"Total","CL"
218,10,"PBE","CL"
219,9,"PBE","CL"
219,9,"Total","CL"
220,7,"PBE","CL"
220,7,"Total","CL"
221,2,"Total","SP"
221,2,"PBE","SP"
222,1,"MIPBE","SP"
222,4,"Total","SP"
222,3,"PBE","SP"
223,10,"Total","SP"
223,10,"PBE","SP"
224,1,"MIPBE","SP"
224,2,"PBE","SP"
224,3,"Total","SP"
225,8,"Total","SP"
225,8,"PBE","SP"
226,6,"Total","SP"
226,6,"PBE","SP"
227,10,"Total","SP"
227,10,"PBE","SP"
228,9,"PBE","SP"
228,9,"Total","SP"
229,4,"Total","SP"
229,4,"PBE","SP"
230,3,"Total","SP"
230,3,"PBE","SP"
231,3,"Total","SP"
231,3,"PBE","SP"
232,8,"PBE","CL"
232,8,"Total","CL"
233,2,"Total","1B"
233,2,"PBE","1B"
234,1,"Total","1B"
234,1,"PBE","1B"
235,4,"Total","1B"
235,4,"PBE","1B"
236,10,"Total","1B"
236,10,"PBE","1B"
237,10,"Total","1B"
237,10,"PBE","1B"
238,5,"Total","1B"
238,5,"PBE","1B"
239,10,"Total","2B"
239,10,"PBE","2B"
240,4,"Total","2B"
240,1,"MIPBE","2B"
240,3,"PBE","2B"
241,1,"Total","2B"
241,1,"PBE","2B"
242,2,"Total","2B"
242,2,"PBE","2B"
243,2,"Total","2B"
243,2,"PBE","2B"
244,10,"Total","SS"
244,10,"PBE","SS"
245,10,"Total","SS"
245,10,"PBE","SS"
246,10,"PBE","C"
246,10,"Total","C"
247,7,"PBE","2B"
247,1,"MIPBE","2B"
247,8,"Total","2B"
248,2,"Total","1B"
248,2,"PBE","1B"
249,2,"Total","1B"
249,1,"MIPBE","1B"
249,1,"PBE","1B"
250,5,"Total","3B"
250,1,"MIPBE","3B"
250,4,"PBE","3B"
252,2,"PBE","3B"
252,3,"Total","3B"
252,1,"MIPBE","3B"
253,3,"Total","3B"
253,1,"MIPBE","3B"
253,2,"PBE","3B"
254,6,"PBE","3B"
254,6,"Total","3B"
255,10,"Total","2B"
255,10,"PBE","2B"
256,2,"PBE","LF"
256,2,"Total","LF"
257,1,"PBE","RF"
257,1,"Total","RF"
258,10,"PBE","RF"
258,10,"Total","RF"
